vessel_flag,total_sets,matching_sets,match_pct
CK,512,511,99.8
CN,847,811,95.7
EC,1269,1097,86.4
ES,563,555,98.6
FM,24797,22308,90
JP,8889,7915,89
KI,27083,23809,87.9
KR,24364,21860,89.7
LR,1116,984,88.2
MH,9887,8286,83.8
MX,60,60,100
NR,17042,15847,93
PG,60112,58703,97.7
PH,5710,5632,98.6
SB,11375,10850,95.4
SV,266,240,90.2
TV,9271,8181,88.2
TW,13576,12552,92.5
US,11186,9987,89.3
VU,2252,1855,82.4
