eez_list,trip_count,total_trips
"GL,I4,NR,TV",7,20444
"FM,PG,TV",7,20444
"H5,I4,I5,LN,PX",7,20444
"FM,GL,PG,PX,TV",7,20444
"MH,PG,SB",7,20444
"GL,H4,MH,PX,TV",7,20444
I6,7,20444
"FM,NR,TV",7,20444
"I5,IW,LN,PY",7,20444
"CK,H5,I5",7,20444
"GL,NR,PG,PX",7,20444
"CK,GL,H4,H5,PX,TK,TV",7,20444
"GL,H5",7,20444
"H5,I5,LN,PY",7,20444
"GL,H4,I4,I5",7,20444
H4,7,20444
"GL,I4,NR,PG,SB",7,20444
"GL,I4,PG,SB",7,20444
"PH,PW",6,20444
"GL,MH,PG,SB,TV",6,20444
"GL,H4,PX,TK",6,20444
"GL,I4,MH,NR,TV",6,20444
TK,6,20444
"GL,PX,SB,TK,TV",6,20444
"GL,H4,LN,PX",6,20444
"GL,H5,I4,I5",6,20444
"GL,TK,TV",6,20444
"I4,I5,LN,PX",6,20444
"GL,I4,LN",6,20444
PW,6,20444
"H4,H5",6,20444
"GL,H4,I4,MH",6,20444
"H5,TK",6,20444
"CK,H5,LN,PX,TK",6,20444
"FM,I2,PG",6,20444
"I4,I5,PX",6,20444
"GL,H4,NR,PX,TV",6,20444
"CK,PX,TK,TV",6,20444
"FM,GL,MH,NR,SB",6,20444
"FM,I1,PG",6,20444
"FM,GL,SB,TV",6,20444
"I1,PG",5,20444
"NR,PG,SB,TV",5,20444
"FM,GL,MH,NR,PG,TV",5,20444
"FM,GL,NR,SB,TV",5,20444
"H4,PG,PX,SB,TV",5,20444
"I6,IW",5,20444
"GL,H5,I4",5,20444
"CK,H5,I4,I5",5,20444
"I5,IW,LN,PX",5,20444
"GL,H4,I4,PX,TK,TV",5,20444
"FM,I4",5,20444
"H4,I4,I5",5,20444
"PG,PW",5,20444
"GL,H5,I4,PX",5,20444
"H4,I4",5,20444
"I4,I5,MH",5,20444
"GL,I4,MH,PX",5,20444
"FM,GL,H4,NR,PG,TV",5,20444
"GL,NR,PX,SB,TV",5,20444
"CK,TK",5,20444
"H4,H5,I4,I5",5,20444
"FM,I4,I5",5,20444
"GL,PG,PX,SB,TV",5,20444
"GL,H4,PX,SB",5,20444
"GL,MH,SB,TV",5,20444
"FM,NR,PG,SB,TV",5,20444
"H5,TK,TV",5,20444
"FM,GL,H4,PX,TV",5,20444
"CK,I5,LN",5,20444
"CK,H5,LN,TK",5,20444
"H5,IW",4,20444
"MH,NR,SB",4,20444
"FM,SB,TV",4,20444
"CK,H5,PX,TK,TV",4,20444
"H5,IW,LN",4,20444
"GL,I4,I5,MH",4,20444
"GL,H4,H5,LN,PX",4,20444
"CK,H5,PX,TV",4,20444
"I4,MH,NR",4,20444
"GL,I4,PG",4,20444
"FM,GL,PX,TV",4,20444
"FM,GL,H4,PG",4,20444
"GL,H4,PG,PX,TV",4,20444
"GL,I4,I5,LN",4,20444
"FM,I2,NR,PG",4,20444
"FM,GL,MH,NR,PX",4,20444
"H4,H5,PX,TK",4,20444
"H4,I4,I5,PX,TV",4,20444
"FM,GL,I4,MH,NR,PG,SB",4,20444
"GL,H5,I5",4,20444
"CK,H4,H5,PX,TK",4,20444
"H4,I4,MH",4,20444
"FM,GL,I4,MH,PG",4,20444
"GL,H4,MH,TV",4,20444
"CK,LN,PX",4,20444
"FM,I4,MH,NR,PG",4,20444
"FM,GL,H4,MH,NR,PG,TV",4,20444
"GL,H4,NR,PG",4,20444
"FM,GL,I4,NR,PG,SB",4,20444
"FM,PG,PX,TV",4,20444
"FM,GL,H4,NR",4,20444
"GL,H4,I4,SB,TV",4,20444
"FM,GL,I4,MH",4,20444
"GL,H4,I4,I5,TV",4,20444
"FM,GL,H4,PG,SB,TV",4,20444
"GL,I4,MH,NR,PX",4,20444
"GL,H4,H5,I4,PX,TV",4,20444
"CK,H5,TK",4,20444
"H4,I4,PX",4,20444
"GL,H5,LN,PX",4,20444
"GL,H5,I4,MH,NR,PX",4,20444
"CK,TK,TV",4,20444
"GL,I4,MH,NR,SB",4,20444
"PX,SB,TK,TV",4,20444
"GL,I5,LN,PX",4,20444
"GL,H4,MH,NR",4,20444
"GL,H4,PG,TV",4,20444
"GL,H4,I4,MH,TV",4,20444
"PG,TV",4,20444
"SB,TK,TV",4,20444
"CK,GL,LN,PX,TK,TV",3,20444
"GL,H4,I4,LN,PX",3,20444
"I4,PG",3,20444
"PX,SB",3,20444
"GL,H4,H5,I4",3,20444
"GL,H4,I4,MH,PX",3,20444
"NR,PX,TV",3,20444
"PG,PX,SB,TV",3,20444
"GL,H5,PX,TK,TV",3,20444
"GL,H4,LN",3,20444
"GL,PG,PX,SB",3,20444
"GL,H4,I4,LN",3,20444
"GL,I2,NR",3,20444
"GL,H4,MH",3,20444
