vessel_flag,total_sets,matching_sets,match_pct
CK,420,9,2.1
CN,148,46,31.1
EC,1150,162,14.1
ES,526,86,16.3
FM,9980,2993,30
JP,4662,1660,35.6
KI,7572,1915,25.3
KR,10772,3133,29.1
LR,393,103,26.2
MH,3167,1122,35.4
MX,48,0,0
NR,6217,1525,24.5
PG,27008,9163,33.9
PH,2181,775,35.5
SB,5751,2351,40.9
SV,216,0,0
TV,3436,977,28.4
TW,5354,1511,28.2
US,8258,327,4
VU,840,153,18.2
