vessel_flag,total_sets,matching_sets,match_pct
CK,655,575,87.8
CN,4130,3745,90.7
FJ,18898,16139,85.4
FM,960,575,59.9
KI,1297,1067,82.3
MH,2253,2187,97.1
NC,1174,1165,99.2
PF,5240,5040,96.2
PG,20,20,100
SB,851,786,92.4
TO,499,32,6.4
TV,103,51,49.5
TW,5337,613,11.5
US,18,0,0
VU,1539,1133,73.6
WS,528,303,57.4
