type,hour,count,pct
LonglineLogsheet,0,4281,0.47
LonglineLogsheet,1,8890,0.98
LonglineLogsheet,2,12932,1.43
LonglineLogsheet,3,45549,5.03
LonglineLogsheet,4,106630,11.77
LonglineLogsheet,5,298513,32.96
LonglineLogsheet,6,219914,24.28
LonglineLogsheet,7,71681,7.91
LonglineLogsheet,8,27466,3.03
LonglineLogsheet,9,9545,1.05
LonglineLogsheet,10,4751,0.52
LonglineLogsheet,11,3466,0.38
LonglineLogsheet,12,5526,0.61
LonglineLogsheet,13,3294,0.36
LonglineLogsheet,14,3715,0.41
LonglineLogsheet,15,5188,0.57
LonglineLogsheet,16,6094,0.67
LonglineLogsheet,17,11039,1.22
LonglineLogsheet,18,16501,1.82
LonglineLogsheet,19,11770,1.3
LonglineLogsheet,20,9071,1
LonglineLogsheet,21,13086,1.44
LonglineLogsheet,22,4716,0.52
LonglineLogsheet,23,2097,0.23
PurseseineLogsheet,0,21732,4.8
PurseseineLogsheet,1,20362,4.49
PurseseineLogsheet,2,20140,4.45
PurseseineLogsheet,3,20750,4.58
PurseseineLogsheet,4,26895,5.94
PurseseineLogsheet,5,31889,7.04
PurseseineLogsheet,6,21135,4.67
PurseseineLogsheet,7,12280,2.71
PurseseineLogsheet,8,4791,1.06
PurseseineLogsheet,9,3396,0.75
PurseseineLogsheet,10,3592,0.79
PurseseineLogsheet,11,3701,0.82
PurseseineLogsheet,12,3652,0.81
PurseseineLogsheet,13,4289,0.95
PurseseineLogsheet,14,5537,1.22
PurseseineLogsheet,15,13557,2.99
PurseseineLogsheet,16,27417,6.05
PurseseineLogsheet,17,56741,12.53
PurseseineLogsheet,18,47103,10.4
PurseseineLogsheet,19,24738,5.46
PurseseineLogsheet,20,19188,4.24
PurseseineLogsheet,21,19951,4.4
PurseseineLogsheet,22,20352,4.49
PurseseineLogsheet,23,19813,4.37
