type,hour,count,pct
LonglineLogsheet,0,4282,0.47
LonglineLogsheet,1,8897,0.98
LonglineLogsheet,2,12981,1.43
LonglineLogsheet,3,45636,5.03
LonglineLogsheet,4,106850,11.77
LonglineLogsheet,5,299122,32.95
LonglineLogsheet,6,220432,24.28
LonglineLogsheet,7,71890,7.92
LonglineLogsheet,8,27562,3.04
LonglineLogsheet,9,9584,1.06
LonglineLogsheet,10,4768,0.53
LonglineLogsheet,11,3475,0.38
LonglineLogsheet,12,5534,0.61
LonglineLogsheet,13,3296,0.36
LonglineLogsheet,14,3718,0.41
LonglineLogsheet,15,5223,0.58
LonglineLogsheet,16,6141,0.68
LonglineLogsheet,17,11068,1.22
LonglineLogsheet,18,16612,1.83
LonglineLogsheet,19,11804,1.3
LonglineLogsheet,20,9079,1
LonglineLogsheet,21,13086,1.44
LonglineLogsheet,22,4718,0.52
LonglineLogsheet,23,2097,0.23
PurseseineLogsheet,0,21813,4.8
PurseseineLogsheet,1,20433,4.49
PurseseineLogsheet,2,20224,4.45
PurseseineLogsheet,3,20842,4.58
PurseseineLogsheet,4,27008,5.94
PurseseineLogsheet,5,32042,7.05
PurseseineLogsheet,6,21197,4.66
PurseseineLogsheet,7,12300,2.7
PurseseineLogsheet,8,4802,1.06
PurseseineLogsheet,9,3420,0.75
PurseseineLogsheet,10,3609,0.79
PurseseineLogsheet,11,3714,0.82
PurseseineLogsheet,12,3668,0.81
PurseseineLogsheet,13,4317,0.95
PurseseineLogsheet,14,5577,1.23
PurseseineLogsheet,15,13591,2.99
PurseseineLogsheet,16,27472,6.04
PurseseineLogsheet,17,56996,12.53
PurseseineLogsheet,18,47351,10.41
PurseseineLogsheet,19,24793,5.45
PurseseineLogsheet,20,19248,4.23
PurseseineLogsheet,21,20031,4.4
PurseseineLogsheet,22,20422,4.49
PurseseineLogsheet,23,19882,4.37
