eez_list,trip_count,total_trips
"CK,PF",3,41504
"I5,IW,PF",3,41504
"H5,I5,PX",3,41504
"I7,I8,SB",3,41504
"H5,I5,I6",3,41504
"NU,TK",3,41504
"I7,MA,VU",3,41504
"NU,TO,WS",3,41504
"H4,H5,I2,I8,VU",3,41504
"H4,I2,I7,I8,TV",3,41504
"I2,SB,VU",3,41504
"CK,H5,IW",3,41504
"I3,I4,I5,IW",3,41504
"H4,I3,I4,TV",3,41504
"H5,I3,I4,I5,LN",3,41504
"I2,I3,I4,TV",2,41504
"I2,SB,TV",2,41504
"IW,PA",2,41504
"H5,I4,LN",2,41504
"I2,I7,I8,VU",2,41504
"I2,I8,SB,TV,VU",2,41504
"JP,PW",2,41504
"H5,I2,PX",2,41504
"I7,IW,PN",2,41504
"I4,I5,I6",2,41504
"I7,TK",2,41504
"H5,I3,I4",2,41504
"I7,MA",2,41504
I9,2,41504
"I8,NC,SB",2,41504
"H4,I7",2,41504
"I5,PF",2,41504
"H4,H5,PX,TV",2,41504
"I7,I8,NF,VU",2,41504
"H4,I2,I8",2,41504
"I7,I8,SB,VU",2,41504
"H5,I4,I5,TV",2,41504
"AS,NU,WS",2,41504
"H4,H5,I5,TV",2,41504
"HW,I6,IW",2,41504
"H5,TK",2,41504
"AS,TK",2,41504
"H4,H5,TK,WS",2,41504
"I1,I2,I3,SB",2,41504
"FJ,I7,TO",2,41504
"CK,FM,H5",2,41504
"H5,I5,IW,JV,LN",2,41504
"H5,I4,I5,IW,LN",2,41504
"GL,H4,I2,I4,PX,TV",2,41504
"CK,IW",2,41504
"H5,I8,TV",2,41504
"H5,I2,I5,IW",2,41504
"GL,H4,I2,I8,PX,TV",2,41504
"CK,TK",2,41504
"H5,I8,VU",2,41504
"H4,I4,I5,TV",2,41504
"GL,H4,H5,I5,IW,LN,PX",2,41504
"FJ,H4,TV",2,41504
"H5,JV,LN,PX",2,41504
"H4,I2,I3,I4,TV",2,41504
"GL,H4,H5,PX",2,41504
"FJ,TV,WF",2,41504
"GL,I2,I8,SB",2,41504
"H4,I2,I8,PX,TV",2,41504
"GL,H4,PX,VU",2,41504
"FM,GL,H4,I4",2,41504
"GL,H4,I2,I4",2,41504
"H4,I2,I8,VU",2,41504
"FM,I1,I2",2,41504
"GL,H4,TV",2,41504
"AS,TK,TO,WS",2,41504
"H4,I2,VU",2,41504
AU,2,41504
"GL,H5,I2,I4,LN,PX",2,41504
"CK,H5,I5,LN,PX",2,41504
"H4,H5,VU",2,41504
"CK,H5,WS",2,41504
"FM,I3,JP",2,41504
"LN,PX",2,41504
"H4,HB,I4",2,41504
"NC,SB,VU",2,41504
"H4,H5,I2,I4,TV",2,41504
"H4,H5,I2,I4,I5",2,41504
"H4,H5,I2,I8,TV",2,41504
"GL,I2,VU",2,41504
"H4,SB,TK",2,41504
"H4,H5,I7,I9",2,41504
"H5,I3,I4,I5,IW",2,41504
"H4,H5,I2,LN,PX,TV",2,41504
"H4,H5,PX",2,41504
"GL,H5,PX",2,41504
"H4,H5,I8,VU",2,41504
"GL,H4,I4,TV",2,41504
"GL,H5,I4,I5,LN,PX",2,41504
"FM,I2,I8",2,41504
"H4,I2,I8,TV,VU",2,41504
"GL,H4,H5,I4,I5,LN,PX,TV",2,41504
"H5,I4,JV,LN",2,41504
"GL,H4,H5,I5,LN,PX,TV",2,41504
"H5,I4,LN,PX",2,41504
"GL,H4,H5,LN,PX,TV",2,41504
"H5,I4,I5,JV,LN",2,41504
"FJ,I7,IW",2,41504
"H5,I4,I5,JV,LN,PX",2,41504
"CK,H5,I5,I9",2,41504
"I2,MH",2,41504
"CK,H4,I5,LN,PX",2,41504
"I2,I3,I4,SB",2,41504
"FM,H5,PX",2,41504
"H5,TV",2,41504
"CK,FM,H4",2,41504
"I4,LN",2,41504
"CK,FM,I2",2,41504
"I8,SB,TV,VU",2,41504
"I8,NC,SB,VU",2,41504
"GL,H5",1,41504
"I4,IW",1,41504
"PG,VU",1,41504
"I8,PX,TV",1,41504
"GL,H5,I2,I4,I5,LN,PX",1,41504
"I4,I5,I6,IW",1,41504
"PX,TV,VU",1,41504
"I9,WS",1,41504
"GL,H5,I2,I4,I5,TV",1,41504
"I4,I5,IW,LN",1,41504
"LN,TK,TO,WS",1,41504
"IW,MP",1,41504
"GL,H5,I2,I8,PX,TV",1,41504
"I4,I5,LN,PX",1,41504
"MA,NC,VU",1,41504
"TK,WF",1,41504
"GL,H5,I2,PX,TV",1,41504
"I4,I5,PX",1,41504
NR,1,41504
"MH,PG",1,41504
"GL,H5,I3,I4,I5,LN,PX",1,41504
"I3,I5",1,41504
"KR,TK,WS",1,41504
"NC,SB",1,41504
"GL,H5,I4,LN,PX",1,41504
"I3,I6,IW",1,41504
JV,1,41504
"CK,FM,I5,SB",1,41504
"GL,H4,I2",1,41504
"I3,I6,IW,MH",1,41504
"I8,PG,SB",1,41504
"AU,PG,VU",1,41504
"GL,H4,H5,I5,LN,PX,TK,TV",1,41504
"I3,I4,I6,MH",1,41504
"CK,I5,I7,IW",1,41504
"AU,I3,I4,I6,I7",1,41504
"GL,H4,I4",1,41504
"I3,I4,I6,PG",1,41504
"FJ,H4,I8,PX,TV,VU",1,41504
"AU,I8,SB",1,41504
"GL,H4,I4,PX",1,41504
"I3,I4,I6,SB",1,41504
"FJ,H5",1,41504
"AS,CK,H5,PX",1,41504
"GL,H4,I8",1,41504
"H5,WS",1,41504
"CK,TK,WS",1,41504
"AS,CK,I5",1,41504
"GL,H4,LN,PX",1,41504
"HW,IW",1,41504
"FJ,H4,H5,TV",1,41504
"AS,CK,LN",1,41504
"GL,LN,PX",1,41504
"I1,I2,I3,PG",1,41504
"FJ,H4,I2,I4,TV",1,41504
"CK,H4,H5,I2",1,41504
"H4,H5,I2,I4",1,41504
