depart_port_id,depart_port_name,country_code,offset,count
713E3822-942F-BF0F-AE72-39D163297A8F,ALOTAU,PG,-11,1
713E3822-942F-BF0F-AE72-39D163297A8F,ALOTAU,PG,10,93
24637B8A-3709-6521-E4CB-39D163297A71,APIA,WS,-13,2
24637B8A-3709-6521-E4CB-39D163297A71,APIA,WS,-12,89
24637B8A-3709-6521-E4CB-39D163297A71,APIA,WS,-11,1232
24637B8A-3709-6521-E4CB-39D163297A71,APIA,WS,-10,226
24637B8A-3709-6521-E4CB-39D163297A71,APIA,WS,1,32
24637B8A-3709-6521-E4CB-39D163297A71,APIA,WS,4,5
24637B8A-3709-6521-E4CB-39D163297A71,APIA,WS,5,25
24637B8A-3709-6521-E4CB-39D163297A71,APIA,WS,10,155
24637B8A-3709-6521-E4CB-39D163297A71,APIA,WS,11,84
24637B8A-3709-6521-E4CB-39D163297A71,APIA,WS,12,354
930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,IW,-11,60
930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,IW,-10,19
930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,IW,-9,60
930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,IW,-8,1
930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,IW,10,11
930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,IW,11,39
930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,IW,12,120
39203748-8A43-65A9-ECB9-39D163297A85,AVATIU,CK,-10,19
39203748-8A43-65A9-ECB9-39D163297A85,AVATIU,CK,10,4
2E3F192F-8E61-8B54-3749-39D45313458A,BETIO,KI,12,14
9738C423-8F37-3002-672C-39D1632979C7,BUSAN,KR,-11,6
9738C423-8F37-3002-672C-39D1632979C7,BUSAN,KR,12,5
9CBF38F2-100F-0471-5B62-3A079497E443,Faaa,PF,-10,64
EF3F4CD8-EC59-46E9-7887-39D1632979D1,HONIARA,SB,-12,2
EF3F4CD8-EC59-46E9-7887-39D1632979D1,HONIARA,SB,-11,140
EF3F4CD8-EC59-46E9-7887-39D1632979D1,HONIARA,SB,-10,2
EF3F4CD8-EC59-46E9-7887-39D1632979D1,HONIARA,SB,6,1
EF3F4CD8-EC59-46E9-7887-39D1632979D1,HONIARA,SB,8,1
EF3F4CD8-EC59-46E9-7887-39D1632979D1,HONIARA,SB,10,5
EF3F4CD8-EC59-46E9-7887-39D1632979D1,HONIARA,SB,11,662
EF3F4CD8-EC59-46E9-7887-39D1632979D1,HONIARA,SB,12,351
3387B088-2D33-67CB-7C56-39D1632979D1,KAOHSIUNG,TW,-11,214
3387B088-2D33-67CB-7C56-39D1632979D1,KAOHSIUNG,TW,-10,8
3387B088-2D33-67CB-7C56-39D1632979D1,KAOHSIUNG,TW,-9,104
3387B088-2D33-67CB-7C56-39D1632979D1,KAOHSIUNG,TW,-2,1
3387B088-2D33-67CB-7C56-39D1632979D1,KAOHSIUNG,TW,5,65
3387B088-2D33-67CB-7C56-39D1632979D1,KAOHSIUNG,TW,11,69
3387B088-2D33-67CB-7C56-39D1632979D1,KAOHSIUNG,TW,12,151
B79DECAC-1015-7AC8-D3B2-39D1632979D1,KESENNUMA,JP,11,33
19489DE6-985E-ACF6-F326-39D163297A7B,KOSRAE,FM,-9,19
19489DE6-985E-ACF6-F326-39D163297A7B,KOSRAE,FM,10,65
19489DE6-985E-ACF6-F326-39D163297A7B,KOSRAE,FM,11,22
19489DE6-985E-ACF6-F326-39D163297A7B,KOSRAE,FM,12,1
BBDEEDC7-5279-944C-3FCB-39D163297A8F,KOUMAC,NC,11,186
BBDEEDC7-5279-944C-3FCB-39D163297A8F,KOUMAC,NC,12,10
F71578B6-128A-4359-8A54-3A06E6CA7B13,MAHE,SC,12,8
