depart_port_id,depart_port_name,country_code,offset,count
25CAFD97-6514-11D9-0DE2-39D163297A17,MAJURO,MH,-12,96
25CAFD97-6514-11D9-0DE2-39D163297A17,MAJURO,MH,-11,2
25CAFD97-6514-11D9-0DE2-39D163297A17,MAJURO,MH,-10,8
25CAFD97-6514-11D9-0DE2-39D163297A17,MAJURO,MH,0,1
25CAFD97-6514-11D9-0DE2-39D163297A17,MAJURO,MH,3,1
25CAFD97-6514-11D9-0DE2-39D163297A17,MAJURO,MH,4,22
25CAFD97-6514-11D9-0DE2-39D163297A17,MAJURO,MH,10,2
25CAFD97-6514-11D9-0DE2-39D163297A17,MAJURO,MH,11,27
25CAFD97-6514-11D9-0DE2-39D163297A17,MAJURO,MH,12,2337
6B06F558-1070-2939-C232-39D163297A7B,MALAKAL,PW,9,52
43972A23-3D11-4CA4-5341-39D163297A21,MISAKI,JP,9,16
4EEC5769-0A18-D498-ED39-39FCBE22CB2F,MUAIWALU,FJ,-11,2
4EEC5769-0A18-D498-ED39-39FCBE22CB2F,MUAIWALU,FJ,12,47
C43CE854-3BF9-913C-F33A-39D163297A53,NORO,SB,-11,14
C43CE854-3BF9-913C-F33A-39D163297A53,NORO,SB,11,406
C43CE854-3BF9-913C-F33A-39D163297A53,NORO,SB,12,191
036E9869-AD91-9046-3C3B-39D163297A53,NOUMEA,NC,-11,7
036E9869-AD91-9046-3C3B-39D163297A53,NOUMEA,NC,-10,1
036E9869-AD91-9046-3C3B-39D163297A53,NOUMEA,NC,9,2
036E9869-AD91-9046-3C3B-39D163297A53,NOUMEA,NC,10,28
036E9869-AD91-9046-3C3B-39D163297A53,NOUMEA,NC,11,937
036E9869-AD91-9046-3C3B-39D163297A53,NOUMEA,NC,12,8
BD821F56-3B81-9C26-2649-39D163297A53,NUKU'ALOFA,TO,-13,13
BD821F56-3B81-9C26-2649-39D163297A53,NUKU'ALOFA,TO,-12,1
BD821F56-3B81-9C26-2649-39D163297A53,NUKU'ALOFA,TO,-11,7484
BD821F56-3B81-9C26-2649-39D163297A53,NUKU'ALOFA,TO,-10,13
BD821F56-3B81-9C26-2649-39D163297A53,NUKU'ALOFA,TO,-6,1
BD821F56-3B81-9C26-2649-39D163297A53,NUKU'ALOFA,TO,-3.5,1
BD821F56-3B81-9C26-2649-39D163297A53,NUKU'ALOFA,TO,0,2
BD821F56-3B81-9C26-2649-39D163297A53,NUKU'ALOFA,TO,4.5,1
BD821F56-3B81-9C26-2649-39D163297A53,NUKU'ALOFA,TO,9,6
BD821F56-3B81-9C26-2649-39D163297A53,NUKU'ALOFA,TO,11,17
BD821F56-3B81-9C26-2649-39D163297A53,NUKU'ALOFA,TO,12,106
28E93CD7-BE58-38B7-85B5-39D163297A5D,PAGO PAGO,AS,-12,1
28E93CD7-BE58-38B7-85B5-39D163297A5D,PAGO PAGO,AS,-11,306
28E93CD7-BE58-38B7-85B5-39D163297A5D,PAGO PAGO,AS,-10,61
28E93CD7-BE58-38B7-85B5-39D163297A5D,PAGO PAGO,AS,0,1
DD1590E6-430E-BAAE-817D-39D163297A67,PAPEETE,PF,-12,12
DD1590E6-430E-BAAE-817D-39D163297A67,PAPEETE,PF,-11,21
DD1590E6-430E-BAAE-817D-39D163297A67,PAPEETE,PF,-10,5582
DD1590E6-430E-BAAE-817D-39D163297A67,PAPEETE,PF,-9,3
DD1590E6-430E-BAAE-817D-39D163297A67,PAPEETE,PF,-8,2
DD1590E6-430E-BAAE-817D-39D163297A67,PAPEETE,PF,0,15
DD1590E6-430E-BAAE-817D-39D163297A67,PAPEETE,PF,2,17
A4072172-A4F1-0B05-D6B4-39D163297A7B,POHNPEI,FM,-12,1
A4072172-A4F1-0B05-D6B4-39D163297A7B,POHNPEI,FM,-10,1
A4072172-A4F1-0B05-D6B4-39D163297A7B,POHNPEI,FM,-8,20
A4072172-A4F1-0B05-D6B4-39D163297A7B,POHNPEI,FM,2,1
A4072172-A4F1-0B05-D6B4-39D163297A7B,POHNPEI,FM,10,38
A4072172-A4F1-0B05-D6B4-39D163297A7B,POHNPEI,FM,11,155
DFB46F49-6001-8A6B-230A-39D163297A5D,PORT MORESBY,PG,10,21
1950C31A-A738-8100-50AC-39D163297A85,PORT VILA,VU,-12,20
1950C31A-A738-8100-50AC-39D163297A85,PORT VILA,VU,-11,138
1950C31A-A738-8100-50AC-39D163297A85,PORT VILA,VU,10,11
1950C31A-A738-8100-50AC-39D163297A85,PORT VILA,VU,11,1776
1950C31A-A738-8100-50AC-39D163297A85,PORT VILA,VU,12,645
462B7EBB-30AD-7A0A-F881-39D163297A5D,RABAUL,PG,10,41
462B7EBB-30AD-7A0A-F881-39D163297A5D,RABAUL,PG,11,8
45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,FJ,-12,316
45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,FJ,-11,834
45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,FJ,-10,481
45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,FJ,-9,100
45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,FJ,-8,2
45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,FJ,-7,1
45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,FJ,0,4
45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,FJ,5,1
45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,FJ,7,1
45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,FJ,8,2
45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,FJ,9,8
45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,FJ,10,26
45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,FJ,11,402
45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,FJ,12,17123
054462ED-ADC0-A812-C7E6-39D1730C264C,TAIWAN,TW,-11,53
FF656E17-3CDE-418A-6BAD-39D163297A7B,TARAWA,KI,-12,1
FF656E17-3CDE-418A-6BAD-39D163297A7B,TARAWA,KI,12,122
BEC17B8B-DF68-1724-77B0-39E5C3D1774E,VACAMONTE,PA,-10,44
6DDD2482-A35A-74A8-13BF-39D163297A99,ZHOUSHAN,CN,-11,102
6DDD2482-A35A-74A8-13BF-39D163297A99,ZHOUSHAN,CN,0,1
