vessel_flag,total_sets,matching_sets,match_pct
CK,512,511,99.8
CN,847,811,95.7
EC,1269,1097,86.4
ES,563,555,98.6
FM,25019,22515,90
JP,8998,8018,89.1
KI,27335,24011,87.8
KR,24750,22218,89.8
LR,1116,984,88.2
MH,9986,8351,83.6
MX,60,60,100
NR,17042,15847,93
PG,59964,58548,97.6
PH,6087,6008,98.7
SB,11430,10905,95.4
SV,266,240,90.2
TV,9645,8530,88.4
TW,13742,12718,92.5
US,12334,11087,89.9
VU,2252,1855,82.4
