eez_list,trip_count,total_trips
"I5,IW,PF",3,41622
"CK,PF",3,41622
"I7,I8,SB",3,41622
"H5,I5,PX",3,41622
"NU,TK",3,41622
"H5,I5,I6",3,41622
"NU,TO,WS",3,41622
"I7,MA,VU",3,41622
"H4,H5,I2,I8,VU",3,41622
"H4,I2,I7,I8,TV",3,41622
"I2,SB,VU",3,41622
"CK,H5,IW",3,41622
"I3,I4,I5,IW",3,41622
"H4,I3,I4,TV",3,41622
"H5,I3,I4,I5,LN",3,41622
"H5,I4,I5,IW,LN",2,41622
"I2,SB,TV",2,41622
"IW,PA",2,41622
"H5,I4,LN",2,41622
"HW,I6,IW",2,41622
"I2,I8,SB,TV,VU",2,41622
"JP,PW",2,41622
"H5,I2,PX",2,41622
"H5,I2,I5,IW",2,41622
"I4,I5,I6",2,41622
"I7,I8,NF,VU",2,41622
"H5,I3,I4",2,41622
"H4,I4,I5,TV",2,41622
I9,2,41622
"I7,TK",2,41622
"H4,I7",2,41622
"H4,I2,I8,PX,TV",2,41622
"H4,H5,PX,TV",2,41622
"I8,NC,SB",2,41622
"H4,I2,I8",2,41622
"H4,I2,I8,VU",2,41622
"H5,I4,I5,TV",2,41622
"I4,LN",2,41622
"H4,H5,I5,TV",2,41622
"H4,I2,VU",2,41622
"H5,TK",2,41622
"AS,NU,WS",2,41622
"H4,H5,TK,WS",2,41622
"H4,I2,I3,I4,TV",2,41622
"FJ,I7,TO",2,41622
"AS,TK",2,41622
"H5,I5,IW,JV,LN",2,41622
"H4,H5,I7,I9",2,41622
"GL,H4,I2,I4,PX,TV",2,41622
"CK,FM,H5",2,41622
"H5,I8,TV",2,41622
"H4,H5,VU",2,41622
"GL,H4,I2,I8,PX,TV",2,41622
"CK,IW",2,41622
"H5,I8,VU",2,41622
"H4,HB,I4",2,41622
"GL,H4,H5,I5,IW,LN,PX",2,41622
"CK,TK",2,41622
"H5,JV,LN,PX",2,41622
"I2,I3,I4,TV",2,41622
"GL,H4,H5,PX",2,41622
"FJ,H4,TV",2,41622
"GL,I2,I8,SB",2,41622
"I2,I7,I8,VU",2,41622
"GL,H4,PX,VU",2,41622
"FJ,TV,WF",2,41622
"GL,H4,I2,I4",2,41622
