eez_list,trip_count,total_trips
PF,10112,41614
MH,5798,41614
FJ,4653,41614
NC,2872,41614
PW,2156,41614
SB,1718,41614
TO,1476,41614
CK,1219,41614
FM,1183,41614
WS,739,41614
"I8,VU",666,41614
PG,648,41614
VU,646,41614
GL,577,41614
IW,569,41614
I7,447,41614
"TK,WS",317,41614
"I8,SB",305,41614
"I5,IW",291,41614
"I3,PW",285,41614
"I8,SB,VU",167,41614
"SB,VU",167,41614
I5,164,41614
"I2,SB",155,41614
I4,138,41614
I8,136,41614
I6,130,41614
"I6,IW",116,41614
TK,100,41614
"FM,I2",97,41614
"CK,H5",92,41614
H5,83,41614
LN,82,41614
"FJ,I7",79,41614
"I2,TV",75,41614
"I4,I5",64,41614
"I2,I8,VU",56,41614
"I5,IW,LN",56,41614
TV,56,41614
"H5,I4,I5",53,41614
"H4,TV",50,41614
"FM,PG",50,41614
"H5,I5",49,41614
"FM,MH",49,41614
I3,48,41614
I2,45,41614
"I7,IW",44,41614
"I3,MH",42,41614
"I2,PG",37,41614
"I4,MH",37,41614
"NU,WS",37,41614
"I2,I8,TV",36,41614
"FM,I3",36,41614
"I2,I8,TV,VU",35,41614
"I5,LN",34,41614
"I4,I5,IW",33,41614
"I3,I4",33,41614
NU,31,41614
"I7,VU",31,41614
"GL,I2",27,41614
"CK,I5",27,41614
"FM,I1",26,41614
"AS,TK,WS",26,41614
"CK,I5,IW",25,41614
"I7,I8,VU",25,41614
"I3,I4,MH",24,41614
"I8,TV,VU",24,41614
"AS,CK",24,41614
"FJ,I8",23,41614
"PG,SB",22,41614
"H5,I5,LN",22,41614
"H4,I2,TV",22,41614
"AS,WS",21,41614
"H5,I5,IW",20,41614
"MA,NC",20,41614
"H5,LN",20,41614
"FM,PW",20,41614
"I2,I8",19,41614
"TO,WS",19,41614
"CK,LN",18,41614
"I7,SB",18,41614
"I2,VU",18,41614
I1,18,41614
"H5,I4,I5,IW",17,41614
"FJ,TO",17,41614
"I3,JP,PW",16,41614
"FJ,TV",16,41614
"I2,I8,SB",16,41614
"HW,I6",15,41614
"H4,I4",15,41614
"H4,I4,TV",15,41614
"H4,H5",15,41614
"I1,PW",14,41614
"I4,TV",14,41614
"CK,I9",14,41614
"GL,I4",14,41614
"H5,PX",13,41614
"H5,LN,PX",13,41614
"H5,I5,IW,LN",13,41614
"I6,I7,IW",13,41614
"CK,FM",13,41614
"I2,I8,SB,VU",13,41614
"H4,TK,WS",13,41614
"AU,PG",12,41614
"H5,I4,I5,LN",12,41614
H4,11,41614
"I4,I5,LN",11,41614
"I7,I8",11,41614
"ID,PW",11,41614
"I7,WS",10,41614
"I5,I6,IW",10,41614
"H5,I4,I5,LN,PX",9,41614
"GL,H4,PX",9,41614
"I5,I7,IW",9,41614
"I6,I7",9,41614
ID,9,41614
"TV,VU",9,41614
"AU,SB",9,41614
"CK,H5,I5",9,41614
"GL,MH",8,41614
"H5,I5,LN,PX",8,41614
"I2,I4,TV",8,41614
"I2,I4",8,41614
"I7,TO",8,41614
"H5,I4,I5,PX",8,41614
"H4,WS",8,41614
"I8,TV",7,41614
"I3,I4,I6",7,41614
"I7,NF",7,41614
"H4,TK",7,41614
"AU,I7",7,41614
"FJ,H4,I2,TV",7,41614
"FM,I2,PG",7,41614
"I7,NC",7,41614
"H4,I2",7,41614
"FJ,I2,TV",7,41614
"FJ,VU",7,41614
"I7,NU",7,41614
"I2,I8,PG",7,41614
"I2,TV,VU",6,41614
"CK,I5,LN",6,41614
"FJ,I2",6,41614
"I4,I6,IW",6,41614
"CK,H5,I5,IW",6,41614
"I3,I4,I5",6,41614
"GL,I3,I4",6,41614
"FJ,I8,VU",6,41614
"IW,LN",6,41614
"I3,JP",6,41614
"GL,H4",6,41614
"CK,I9,LN",6,41614
"I4,I6",6,41614
"I2,I3,SB",6,41614
"NC,VU",6,41614
"I9,LN",5,41614
"H4,H5,LN,PX",5,41614
"H5,I7",5,41614
"I7,NU,WS",5,41614
"TK,WF,WS",5,41614
"I7,NZ",5,41614
"FM,I2,SB",5,41614
"CK,H5,LN",5,41614
"GL,H4,I2,I4,TV",5,41614
"I8,NC,VU",5,41614
"FJ,I2,I8,VU",5,41614
"I5,I7",5,41614
"GL,PX,TV",5,41614
JP,5,41614
MA,5,41614
"H5,TK,WS",5,41614
"I3,I4,I6,I7,IW",5,41614
"I5,I9,LN",5,41614
"MA,VU",5,41614
PX,5,41614
"H5,I4",5,41614
"H4,H5,TV",5,41614
"H4,I2,I4,TV",5,41614
"H4,I2,I8,TV",4,41614
"I8,PG",4,41614
"I1,PG",4,41614
"GL,PX",4,41614
"I2,PG,SB",4,41614
"I5,I6,I7,IW",4,41614
"I2,I7",4,41614
"GL,H5,I5,LN,PX",4,41614
"I3,I6",4,41614
"CK,I7",4,41614
"H5,I9",4,41614
"GL,I2,TV",4,41614
"I1,SB",4,41614
"FM,I3,PW",4,41614
"GL,H4,PX,TV",4,41614
"FJ,I7,VU",4,41614
"CK,H5,PX",4,41614
"I3,I4,I6,I7",4,41614
"FJ,I2,I8",4,41614
"CK,H4",4,41614
"FJ,I7,I8",4,41614
"I3,I4,SB",4,41614
"I7,TV",4,41614
"SB,TV",4,41614
"JV,LN",4,41614
"I2,I8,SB,TV",3,41614
"GL,H4,I2,PX,TV",3,41614
"I8,SB,TV",3,41614
"I7,TO,WS",3,41614
"H5,I3,I4,I5",3,41614
"GL,H4,I2,I3,I4,TV",3,41614
"FJ,I2,I8,TV",3,41614
"FJ,WF",3,41614
"H4,PX",3,41614
"GL,H5,LN,PX",3,41614
"GL,I2,I8",3,41614
"FJ,H4,I4",3,41614
"GL,H5,I5,IW,LN,PX",3,41614
"GL,I2,I4",3,41614
"H4,I4,I5",3,41614
"CK,H5,I5,LN",3,41614
"GL,H4,H5,I2,LN,PX,TV",3,41614
"GL,I2,SB",3,41614
"H5,I9,LN",3,41614
"CK,H4,H5",3,41614
"GL,H4,H5,I5,IW,LN,PX,TV",3,41614
"FM,I2,NR",3,41614
"I5,I9,IW,LN",3,41614
"AU,I8,PG",3,41614
"CK,I5,IW,LN",3,41614
"FM,I1,I3",3,41614
"I5,PF",3,41614
"GL,H4,H5,I5,LN,PX",3,41614
"I5,I7,IW,LN",3,41614
"FM,I2,I3",3,41614
"I5,I7,LN",3,41614
"H4,H5,I4,I5,TV",3,41614
"I5,IW,PF",3,41614
"CK,PF",3,41614
"I7,I8,SB",3,41614
"H5,I5,PX",3,41614
"NU,TK",3,41614
"H5,I5,I6",3,41614
"NU,TO,WS",3,41614
"I7,MA,VU",3,41614
"H4,H5,I2,I8,VU",3,41614
"H4,I2,I7,I8,TV",3,41614
"I2,SB,VU",3,41614
"CK,H5,IW",3,41614
"I3,I4,I5,IW",3,41614
"H4,I3,I4,TV",3,41614
"H5,I3,I4,I5,LN",3,41614
"I7,I8,SB,VU",2,41614
"I2,SB,TV",2,41614
"IW,PA",2,41614
"H5,I4,LN",2,41614
"I7,IW,PN",2,41614
"I2,I8,SB,TV,VU",2,41614
"JP,PW",2,41614
"H5,I2,PX",2,41614
"I7,MA",2,41614
"I4,I5,I6",2,41614
"I7,I8,NF,VU",2,41614
"H5,I3,I4",2,41614
"I2,I3,I4,TV",2,41614
I9,2,41614
"I7,TK",2,41614
"H4,I7",2,41614
"I2,I7,I8,VU",2,41614
"H4,H5,PX,TV",2,41614
"I8,NC,SB",2,41614
"H4,I2,I8",2,41614
"I1,I2,I3,SB",2,41614
"H5,I4,I5,TV",2,41614
"I4,LN",2,41614
"H4,H5,I5,TV",2,41614
"H5,I4,I5,IW,LN",2,41614
"H5,TK",2,41614
"AS,NU,WS",2,41614
"H4,H5,TK,WS",2,41614
"HW,I6,IW",2,41614
"FJ,I7,TO",2,41614
"AS,TK",2,41614
"H5,I5,IW,JV,LN",2,41614
"H5,I2,I5,IW",2,41614
"GL,H4,I2,I4,PX,TV",2,41614
"CK,FM,H5",2,41614
"H5,I8,TV",2,41614
"H4,I4,I5,TV",2,41614
"GL,H4,I2,I8,PX,TV",2,41614
"CK,IW",2,41614
"H5,I8,VU",2,41614
"H4,I2,I8,PX,TV",2,41614
"GL,H4,H5,I5,IW,LN,PX",2,41614
"CK,TK",2,41614
"H5,JV,LN,PX",2,41614
"H4,I2,I8,VU",2,41614
"GL,H4,H5,PX",2,41614
"FJ,H4,TV",2,41614
"GL,I2,I8,SB",2,41614
"H4,I2,VU",2,41614
"GL,H4,PX,VU",2,41614
"FJ,TV,WF",2,41614
"GL,H4,I2,I4",2,41614
"H4,I2,I3,I4,TV",2,41614
"FM,I1,I2",2,41614
"FM,GL,H4,I4",2,41614
"AS,TK,TO,WS",2,41614
"H4,H5,I7,I9",2,41614
AU,2,41614
"GL,H5,I4,I5,LN,PX",2,41614
"CK,H5,I5,LN,PX",2,41614
"H4,H5,VU",2,41614
"CK,H5,WS",2,41614
"FJ,SB",2,41614
"LN,PX",2,41614
"H4,HB,I4",2,41614
"NC,SB,VU",2,41614
"FM,I3,JP",2,41614
"GL,I2,VU",2,41614
"GL,H4,TV",2,41614
"GL,H5,PX",2,41614
"GL,H5,I2,I4,LN,PX",2,41614
"GU,MP",2,41614
"H4,SB,TK",2,41614
"H4,H5,I2,I4,I5",2,41614
"H5,I3,I4,I5,IW",2,41614
"H4,H5,I2,LN,PX,TV",2,41614
"H4,H5,I2,I4,TV",2,41614
"GL,H4,I4,TV",2,41614
"H4,H5,I2,I8,TV",2,41614
"GL,H4,H5,I4,I5,LN,PX,TV",2,41614
"H4,H5,I8,VU",2,41614
"GL,H4,H5,I5,LN,PX,TV",2,41614
"H4,H5,PX",2,41614
"GL,H4,H5,LN,PX,TV",2,41614
"H5,I4,JV,LN",2,41614
"FM,I2,I8",2,41614
"H5,I4,LN,PX",2,41614
"CK,H4,I5,LN,PX",2,41614
"H5,I4,I5,JV,LN",2,41614
"FM,H5,PX",2,41614
"H5,I4,I5,JV,LN,PX",2,41614
"FJ,I7,IW",2,41614
"I2,I3,I4,SB",2,41614
"CK,FM,I2",2,41614
"H4,I2,I8,TV,VU",2,41614
"CK,H5,I5,I9",2,41614
"H5,TV",2,41614
"CK,FM,H4",2,41614
"I2,MH",2,41614
"I8,SB,TV,VU",2,41614
"I8,NC,SB,VU",2,41614
"GL,H5",1,41614
"I4,IW",1,41614
"PG,VU",1,41614
"I8,PX,TV",1,41614
"GL,H5,I2,I4,I5,LN,PX",1,41614
"I4,I5,I6,IW",1,41614
"PX,TV,VU",1,41614
"I8,MA,SB,VU",1,41614
"GL,H5,I2,I4,I5,TV",1,41614
"I4,I5,IW,LN",1,41614
"LN,TK,TO,WS",1,41614
"I9,WS",1,41614
"GL,H5,I2,I8,PX,TV",1,41614
"I4,I5,LN,PX",1,41614
"MA,NC,VU",1,41614
"TK,WF",1,41614
"GL,H5,I2,PX,TV",1,41614
"I4,I5,PX",1,41614
NR,1,41614
"MH,PG",1,41614
"GL,H5,I3,I4,I5,LN,PX",1,41614
"I3,I5",1,41614
"KR,TK,WS",1,41614
"NC,SB",1,41614
"GL,H5,I4,LN,PX",1,41614
"I3,I6,IW",1,41614
JV,1,41614
"CK,FM,H4,H5",1,41614
"GL,H4,I2",1,41614
"I3,I6,IW,MH",1,41614
"I8,PG,SB",1,41614
"AU,PG,VU",1,41614
"GL,H4,H5,I5,LN,PX,TK,TV",1,41614
"I3,I4,I6,MH",1,41614
"CK,I5,I7,IW",1,41614
"AU,I3,I4,I6,I7",1,41614
"GL,H4,I4",1,41614
"I3,I4,I6,PG",1,41614
"FJ,H4,I8,PX,TV,VU",1,41614
"AU,I8,SB",1,41614
"GL,H4,I4,PX",1,41614
"I3,I4,I6,SB",1,41614
"FJ,H5",1,41614
"AS,CK,H5,PX",1,41614
"GL,H4,I8",1,41614
"H5,WS",1,41614
"CK,TK,WS",1,41614
"AS,CK,I5",1,41614
"GL,H4,LN,PX",1,41614
"HW,IW",1,41614
"FJ,H4,H5,TV",1,41614
"AS,CK,LN",1,41614
"GL,LN,PX",1,41614
"I1,I2,I3,PG",1,41614
"FJ,H4,I2,I4,TV",1,41614
"CK,H5,I4,I5,LN",1,41614
"H4,H5,I2,I4",1,41614
"I1,I2,PG",1,41614
"FM,H4,I2",1,41614
"CK,FM,I5,SB",1,41614
"H4,H5,I2,I4,I5,IW,TV",1,41614
"H5,I7,I8,IW",1,41614
"FM,H4,I2,TV",1,41614
"CK,H4,H5,I2",1,41614
"H4,H5,I2,I4,PX,TV",1,41614
"H5,I7,I9",1,41614
"FJ,MA,VU",1,41614
"CK,H4,H5,TV",1,41614
"H4,H5,I2,I7",1,41614
"H5,LN,PX,TV",1,41614
"CK,H5,LN,PY",1,41614
"FJ,I7,NF,VU",1,41614
"H4,I2,I4,I5,TV",1,41614
"H5,SB",1,41614
"CK,H4,H5,I8,TK,VU",1,41614
"FJ,I7,NZ",1,41614
"H4,I2,I4,I8",1,41614
"I2,I3,I4",1,41614
"CK,H4,H5,I8,TV",1,41614
"FJ,I7,WF",1,41614
"H4,I2,SB",1,41614
"I2,I4,I8,VU",1,41614
"CK,H5,I3,I9,MH",1,41614
"FJ,I8,TV",1,41614
"H4,I2,SB,TV",1,41614
"I2,I8,PX",1,41614
"AU,I2,I8,PG",1,41614
"FJ,MA",1,41614
"H4,I5,IW",1,41614
"H5,I4,I5,IW,PX",1,41614
"AS,CK,H5,I5,IW",1,41614
"FJ,SB,VU",1,41614
"H4,I7,TV",1,41614
"H5,I5,I7",1,41614
"AU,PG,SB",1,41614
"FM,H4",1,41614
"H4,IW",1,41614
"H5,I5,LN,PX,PY",1,41614
"CK,FM,MH",1,41614
"CK,H5,I5,JV,LN",1,41614
"H4,TK,WF,WS",1,41614
"H5,I5,PY",1,41614
"FM,I1,I2,PG",1,41614
