vessel_flag,eez_code,depart_port_id,depart_port,nautical_offset,count
AU,FJ,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,12,1
AU,IW,930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,-7,36
AU,IW,C43CE854-3BF9-913C-F33A-39D163297A53,NORO,6,1
AU,IW,BEC17B8B-DF68-1724-77B0-39E5C3D1774E,VACAMONTE,-7,23
AU,IW,BEC17B8B-DF68-1724-77B0-39E5C3D1774E,VACAMONTE,-6,29
AU,NC,036E9869-AD91-9046-3C3B-39D163297A53,NOUMEA,10,1
AU,NC,036E9869-AD91-9046-3C3B-39D163297A53,NOUMEA,11,296
BZ,H5,930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,-11,46
BZ,H5,E425E0FD-D4C0-EA7A-CD5F-39D163297A8F,LAUTOKA,-11,92
BZ,I4,930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,-12,2
BZ,I4,930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,-11,19
BZ,I4,E425E0FD-D4C0-EA7A-CD5F-39D163297A8F,LAUTOKA,-11,19
BZ,I5,930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,-11,47
BZ,I5,930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,-10,37
BZ,I5,930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,-9,51
BZ,I5,E425E0FD-D4C0-EA7A-CD5F-39D163297A8F,LAUTOKA,-11,30
BZ,I5,E425E0FD-D4C0-EA7A-CD5F-39D163297A8F,LAUTOKA,-10,25
BZ,I5,BEC17B8B-DF68-1724-77B0-39E5C3D1774E,VACAMONTE,-10,6
BZ,I5,BEC17B8B-DF68-1724-77B0-39E5C3D1774E,VACAMONTE,-9,41
BZ,IW,930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,-10,162
BZ,IW,930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,-9,191
BZ,IW,930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,-8,663
BZ,IW,930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,-7,175
BZ,IW,930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,-6,1458
BZ,IW,44A79C31-DF95-193D-93E4-39D163297A8F,BALBOA,-9,15
BZ,IW,44A79C31-DF95-193D-93E4-39D163297A8F,BALBOA,-8,11
BZ,IW,E425E0FD-D4C0-EA7A-CD5F-39D163297A8F,LAUTOKA,-10,51
BZ,IW,E425E0FD-D4C0-EA7A-CD5F-39D163297A8F,LAUTOKA,-9,9
BZ,IW,E425E0FD-D4C0-EA7A-CD5F-39D163297A8F,LAUTOKA,-8,94
BZ,IW,E425E0FD-D4C0-EA7A-CD5F-39D163297A8F,LAUTOKA,-7,36
BZ,IW,9EC1BF9C-088E-44D2-4CD9-39D163297A5D,PANAMA,-10,39
BZ,IW,9EC1BF9C-088E-44D2-4CD9-39D163297A5D,PANAMA,-9,43
BZ,IW,9EC1BF9C-088E-44D2-4CD9-39D163297A5D,PANAMA,-8,420
BZ,IW,9EC1BF9C-088E-44D2-4CD9-39D163297A5D,PANAMA,-7,16
BZ,IW,9EC1BF9C-088E-44D2-4CD9-39D163297A5D,PANAMA,-6,52
BZ,IW,BEC17B8B-DF68-1724-77B0-39E5C3D1774E,VACAMONTE,-10,176
BZ,IW,BEC17B8B-DF68-1724-77B0-39E5C3D1774E,VACAMONTE,-9,271
BZ,IW,BEC17B8B-DF68-1724-77B0-39E5C3D1774E,VACAMONTE,-8,694
BZ,IW,BEC17B8B-DF68-1724-77B0-39E5C3D1774E,VACAMONTE,-7,206
BZ,IW,BEC17B8B-DF68-1724-77B0-39E5C3D1774E,VACAMONTE,-6,1597
CK,AS,24637B8A-3709-6521-E4CB-39D163297A71,APIA,-12,4
CK,AS,24637B8A-3709-6521-E4CB-39D163297A71,APIA,-11,5
CK,AS,28E93CD7-BE58-38B7-85B5-39D163297A5D,PAGO PAGO,-11,8
CK,AS,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,-11,1
CK,AU,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,11,4
CK,CK,24637B8A-3709-6521-E4CB-39D163297A71,APIA,-11,274
CK,CK,24637B8A-3709-6521-E4CB-39D163297A71,APIA,-10,4
CK,CK,39203748-8A43-65A9-ECB9-39D163297A85,AVATIU,-11,2688
CK,CK,39203748-8A43-65A9-ECB9-39D163297A85,AVATIU,-10,3
CK,CK,28E93CD7-BE58-38B7-85B5-39D163297A5D,PAGO PAGO,-11,3175
CK,CK,28E93CD7-BE58-38B7-85B5-39D163297A5D,PAGO PAGO,-10,62
CK,H4,24637B8A-3709-6521-E4CB-39D163297A71,APIA,-12,36
CK,H4,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,-12,79
CK,H5,24637B8A-3709-6521-E4CB-39D163297A71,APIA,-11,4
CK,H5,28E93CD7-BE58-38B7-85B5-39D163297A5D,PAGO PAGO,-11,28
CK,H5,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,-11,16
CK,I2,824A3738-8B1F-40D6-B6C2-D4772E4DDCED,SHIDAO,11,2
CK,I2,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,11,3
CK,I2,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,12,21
CK,I7,24637B8A-3709-6521-E4CB-39D163297A71,APIA,-12,9
CK,I7,24637B8A-3709-6521-E4CB-39D163297A71,APIA,-11,145
CK,I7,39203748-8A43-65A9-ECB9-39D163297A85,AVATIU,-11,1
CK,I7,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,-12,11
CK,I7,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,-11,17
CK,I7,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,11,643
CK,I7,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,12,64
CK,I8,824A3738-8B1F-40D6-B6C2-D4772E4DDCED,SHIDAO,12,7
CK,I8,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,12,5
CK,KR,930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,9,1
CK,NC,39203748-8A43-65A9-ECB9-39D163297A85,AVATIU,11,1
CK,NU,24637B8A-3709-6521-E4CB-39D163297A71,APIA,-11,479
CK,NU,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,-11,24
CK,PF,39203748-8A43-65A9-ECB9-39D163297A85,AVATIU,-10,1
CK,TK,24637B8A-3709-6521-E4CB-39D163297A71,APIA,-12,572
CK,TK,24637B8A-3709-6521-E4CB-39D163297A71,APIA,-11,916
CK,TK,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,-12,51
CK,TK,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,-11,17
CK,TO,24637B8A-3709-6521-E4CB-39D163297A71,APIA,-12,3
CK,TO,24637B8A-3709-6521-E4CB-39D163297A71,APIA,-11,2
CK,TV,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,-12,1
CK,WF,24637B8A-3709-6521-E4CB-39D163297A71,APIA,-12,1
CK,WF,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,-12,1
CK,WS,24637B8A-3709-6521-E4CB-39D163297A71,APIA,-12,1402
CK,WS,24637B8A-3709-6521-E4CB-39D163297A71,APIA,-11,573
CK,WS,9738C423-8F37-3002-672C-39D1632979C7,BUSAN,-12,3
CK,WS,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,-12,152
CK,WS,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,-11,31
CN,AS,24637B8A-3709-6521-E4CB-39D163297A71,APIA,-11,4
CN,AS,930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,-11,1
CN,AS,28E93CD7-BE58-38B7-85B5-39D163297A5D,PAGO PAGO,-11,1
CN,AS,6DDD2482-A35A-74A8-13BF-39D163297A99,ZHOUSHAN,-11,1
CN,AU,930A973D-68AE-57FC-DD15-39D163297A7B,AT SEA,10,3
CN,AU,EF3F4CD8-EC59-46E9-7887-39D1632979D1,HONIARA,10,1
CN,AU,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,10,16
CN,AU,45EFF196-73FA-CDBA-0261-39D163297A67,SUVA,11,4
