vessel_flag,eez_code,depart_port,offset,support,confidence,rule_level
CK,I7,SUVA,12.0,54,1.0,port
VU,I6,KAOHSIUNG,12.0,54,0.4444444444444444,port
CK,I7,,12.0,54,1.0,eez
VU,H5,,-11.0,54,0.9814814814814815,eez
CK,WS,APIA,-11.0,53,0.5471698113207547,port
TW,TO,TAIWAN,-11.0,53,1.0,port
CK,WS,,-11.0,53,0.5471698113207547,eez
KI,I4,SUVA,12.0,52,1.0,port
KI,I4,,12.0,52,1.0,eez
CK,NU,APIA,-12.0,50,0.74,port
CK,NU,,-12.0,50,0.74,eez
VU,SB,HONIARA,12.0,49,0.9795918367346939,port
VU,SB,,12.0,49,0.9795918367346939,eez
CN,PW,MALAKAL,9.0,48,1.0,port
CN,PW,,9.0,48,1.0,eez
TV,TV,SUVA,-11.0,47,0.7021276595744681,port
VU,I7,PAPEETE,-10.0,47,0.6808510638297872,port
TV,TV,,-11.0,47,0.7021276595744681,eez
VU,IW,PAPEETE,-10.0,45,0.9777777777777777,port
VU,VU,HONIARA,12.0,45,0.9777777777777777,port
VU,VU,,12.0,45,0.9777777777777777,eez
VU,IW,VACAMONTE,-10.0,44,1.0,port
JP,PG,RABAUL,10.0,41,1.0,port
MH,CK,APIA,-11.0,41,1.0,port
JP,FM,,11.0,41,1.0,eez
MH,CK,,-11.0,41,1.0,eez
CN,I8,SUVA,11.0,40,0.975,port
CN,SB,NORO,12.0,40,0.975,port
FJ,I2,SUVA,12.0,40,1.0,port
FJ,I2,,12.0,40,1.0,eez
KI,I8,SUVA,-10.0,38,0.7105263157894737,port
WS,SB,HONIARA,11.0,38,0.9736842105263158,port
KI,I8,,-10.0,38,0.7105263157894737,eez
WS,SB,,11.0,38,0.9736842105263158,eez
CK,TK,APIA,12.0,36,0.7777777777777778,port
CK,TK,,12.0,36,0.7777777777777778,eez
FM,FM,POHNPEI,-8.0,35,0.5142857142857142,port
TW,MH,MAJURO,12.0,35,0.9428571428571428,port
VU,H5,KAOHSIUNG,-11.0,35,0.9714285714285714,port
TW,MH,,12.0,35,0.9428571428571428,eez
CN,H5,,-11.0,34,0.7941176470588235,eez
JP,FM,KESENNUMA,11.0,33,1.0,port
WS,NU,,-11.0,33,1.0,eez
TV,I8,SUVA,12.0,31,1.0,port
TV,I8,,12.0,31,1.0,eez
CN,GL,TARAWA,12.0,29,1.0,port
KI,I5,SUVA,-10.0,29,0.9310344827586207,port
CN,GL,,11.0,29,0.0,flag_fallback
KI,I5,,12.0,29,0.06896551724137931,flag_fallback
FJ,FJ,MUAIWALU,12.0,28,0.9285714285714286,port
KI,LN,APIA,-11.0,28,1.0,port
FM,PG,,-11.0,28,0.0,flag_fallback
KI,LN,,12.0,28,0.0,flag_fallback
WS,H4,APIA,12.0,27,0.7777777777777778,port
WS,H4,,-11.0,27,0.2222222222222222,flag_fallback
CN,H5,APIA,-11.0,26,1.0,port
CN,I8,HONIARA,11.0,25,0.76,port
WS,WS,SUVA,-11.0,24,0.9166666666666666,port
CK,CK,AVATIU,-10.0,23,0.8260869565217391,port
KI,TV,SUVA,12.0,23,1.0,port
KI,TV,,12.0,23,1.0,flag_fallback
KI,I2,SUVA,12.0,22,1.0,port
KI,I2,,12.0,22,1.0,flag_fallback
FJ,TV,MUAIWALU,12.0,21,1.0,port
PG,PG,PORT MORESBY,10.0,21,1.0,port
PG,PG,,10.0,21,1.0,flag_fallback
WS,NU,APIA,-11.0,20,1.0,port
CN,I2,,11.0,20,0.35,flag_fallback
VU,H5,SUVA,-11.0,19,1.0,port
FJ,H4,SUVA,12.0,18,0.9444444444444444,port
FJ,I7,NUKU'ALOFA,-11.0,18,1.0,port
TV,H4,SUVA,-11.0,18,1.0,port
US,TO,NUKU'ALOFA,-11.0,18,1.0,port
FJ,H4,,12.0,18,0.9444444444444444,flag_fallback
TV,H4,,12.0,18,0.0,flag_fallback
US,TO,,-11.0,18,1.0,flag_fallback
FJ,GL,TARAWA,12.0,16,1.0,port
JP,PG,MISAKI,9.0,16,1.0,port
VU,I3,KAOHSIUNG,11.0,16,1.0,port
FJ,GL,,12.0,16,1.0,flag_fallback
VU,I3,,12.0,16,0.0,flag_fallback
CN,I8,NORO,12.0,15,1.0,port
FJ,I4,SUVA,12.0,15,1.0,port
FM,PG,KOSRAE,11.0,15,0.5333333333333333,port
MH,I4,MAJURO,-12.0,15,0.6666666666666666,port
FJ,I4,,12.0,15,1.0,flag_fallback
KI,H5,,12.0,15,1.0,flag_fallback
MH,I4,,12.0,15,0.3333333333333333,flag_fallback
FM,H5,APIA,-11.0,14,1.0,port
MH,GL,BETIO,12.0,14,1.0,port
FM,H5,,-11.0,14,1.0,flag_fallback
CN,I2,PORT VILA,11.0,13,0.5384615384615384,port
FM,PG,POHNPEI,11.0,13,0.8461538461538461,port
SB,I2,HONIARA,11.0,13,0.6923076923076923,port
WS,NU,SUVA,-11.0,13,1.0,port
SB,I2,,11.0,13,0.6923076923076923,flag_fallback
VU,I7,AT SEA,-10.0,12,1.0,port
KI,GL,TARAWA,12.0,11,1.0,port
VU,IW,AT SEA,-11.0,11,0.6363636363636364,port
KI,GL,,12.0,11,1.0,flag_fallback
VU,I5,BUSAN,-11.0,10,0.6,port
KI,I9,SUVA,-10.0,9,1.0,port
KI,I9,,12.0,9,0.0,flag_fallback
CN,VU,NORO,12.0,8,1.0,port
JP,FM,RABAUL,11.0,8,1.0,port
KI,H5,APIA,12.0,8,1.0,port
MH,MH,MAHE,12.0,8,1.0,port
SB,I3,HONIARA,11.0,8,1.0,port
TO,I7,NUKU'ALOFA,-11.0,8,0.625,port
SB,I3,,11.0,8,1.0,flag_fallback
TO,I7,,-11.0,8,0.625,flag_fallback
CN,H5,Faaa,-10.0,7,1.0,port
CN,I2,HONIARA,12.0,7,1.0,port
FJ,I3,SUVA,12.0,7,1.0,port
KI,H5,SUVA,12.0,7,1.0,port
TV,I2,SUVA,12.0,7,1.0,port
VU,I1,AT SEA,10.0,7,1.0,port
VU,I2,AT SEA,12.0,7,0.7142857142857143,port
FJ,I3,,12.0,7,1.0,flag_fallback
TV,I2,,12.0,7,1.0,flag_fallback
VU,I1,,12.0,7,0.0,flag_fallback
VU,I2,,12.0,7,0.7142857142857143,flag_fallback
VU,H4,AT SEA,12.0,6,0.8333333333333334,port
VU,H4,,12.0,6,0.8333333333333334,flag_fallback
FM,I4,MAJURO,12.0,5,1.0,port
MH,I3,MAJURO,12.0,5,1.0,port
FM,I4,,-11.0,5,0.0,flag_fallback
MH,I3,,12.0,5,1.0,flag_fallback
TW,PW,MALAKAL,9.0,4,1.0,port
WS,AS,APIA,12.0,4,0.5,port
TW,PW,,-11.0,4,0.0,flag_fallback
WS,AS,,-11.0,4,0.5,flag_fallback
CN,I3,MAJURO,12.0,3,1.0,port
CN,I9,PAPEETE,-10.0,3,1.0,port
CN,LN,APIA,-11.0,3,1.0,port
FM,I5,APIA,-10.0,3,1.0,port
TW,I2,HONIARA,-11.0,3,0.6666666666666666,port
CN,I3,,11.0,3,0.0,flag_fallback
CN,I9,,11.0,3,0.0,flag_fallback
CN,LN,,11.0,3,0.0,flag_fallback
FM,I5,,-11.0,3,0.0,flag_fallback
TW,I2,,-11.0,3,0.6666666666666666,flag_fallback
CK,AS,PAGO PAGO,-11.0,2,1.0,port
CN,SB,PORT VILA,12.0,2,0.5,port
FJ,FJ,NUKU'ALOFA,-11.0,2,1.0,port
MH,I2,TARAWA,12.0,2,1.0,port
VU,I4,SUVA,-11.0,2,1.0,port
CK,AS,,-11.0,2,1.0,flag_fallback
MH,I2,,12.0,2,1.0,flag_fallback
CN,H5,ZHOUSHAN,-11.0,1,1.0,port
CN,PF,APIA,-11.0,1,1.0,port
FJ,IW,SUVA,12.0,1,1.0,port
FJ,MA,SUVA,12.0,1,1.0,port
FJ,WF,SUVA,12.0,1,1.0,port
FM,I2,KOSRAE,-9.0,1,1.0,port
FM,I3,MAJURO,12.0,1,1.0,port
TO,AS,PAGO PAGO,-11.0,1,1.0,port
TW,I7,NUKU'ALOFA,-11.0,1,1.0,port
TW,WF,NUKU'ALOFA,-11.0,1,1.0,port
VU,HW,KAOHSIUNG,12.0,1,1.0,port
VU,I4,BUSAN,12.0,1,1.0,port
CN,PF,,11.0,1,0.0,flag_fallback
FJ,IW,,12.0,1,1.0,flag_fallback
FJ,MA,,12.0,1,1.0,flag_fallback
FJ,WF,,12.0,1,1.0,flag_fallback
FM,I2,,-11.0,1,0.0,flag_fallback
FM,I3,,-11.0,1,0.0,flag_fallback
TO,AS,,-11.0,1,1.0,flag_fallback
TW,I7,,-11.0,1,1.0,flag_fallback
TW,WF,,-11.0,1,1.0,flag_fallback
VU,HW,,12.0,1,1.0,flag_fallback
