eez_code,offset_list,count,observer_trips
PG,10,2053,4183
PG,11,770,4183
PG,"10,11",591,4183
PG,9,273,4183
PG,12,74,4183
PG,"10,12",73,4183
PG,"11,12",66,4183
PG,"9,10",63,4183
PG,"10,11,12",30,4183
PG,"9,10,11",22,4183
PG,"8,10",18,4183
PG,-11,13,4183
PG,"-11,11",13,4183
PG,"-10,10",12,4183
PG,"8,9",12,4183
PG,"-11,10,11",10,4183
PG,"-10,11",8,4183
PG,"-11,-10",7,4183
PG,"9,11",7,4183
PG,-10,6,4183
PG,"9,10,11,12",5,4183
PG,"7,10",4,4183
PG,"-11,10",4,4183
PG,"-11,11,12",4,4183
PG,"-11,12",3,4183
PG,"-12,10",3,4183
PG,"-10,10,11",3,4183
PG,"-10,10,12",3,4183
PG,"-11,-10,12",3,4183
PG,"8,9,10",3,4183
PG,"9,12",3,4183
PG,"8,10,12",2,4183
PG,"7,10,11",2,4183
PG,"2,10",2,4183
PG,"6,8,10",1,4183
PG,"8,10,11",1,4183
PG,"8,10,11,12",1,4183
PG,8,1,4183
PG,"7,9",1,4183
PG,"0,10",1,4183
PG,"-13,10,11",1,4183
PG,-8,1,4183
PG,-9,1,4183
PG,"-10,11,12",1,4183
PG,"-1,9,10,11",1,4183
PG,"-11,9,11,12",1,4183
PG,"-11,9,11",1,4183
PG,-12,1,4183
PG,"-12,-10,10,11,12",1,4183
PG,"-11,3",1,4183
PG,"-11,10,11,12",1,4183
PG,"-11,10,12",1,4183
GL,12,2410,3376
GL,"11,12",405,3376
GL,11,238,3376
GL,"-11,12",67,3376
GL,"-12,12",61,3376
GL,-12,35,3376
GL,9,22,3376
GL,"-10,12",21,3376
GL,"10,12",19,3376
GL,-11,16,3376
GL,"10,11,12",13,3376
GL,"-12,11,12",8,3376
GL,10,7,3376
GL,"9,12",5,3376
GL,"8,12",5,3376
GL,"-11,11,12",5,3376
GL,"10,11",4,3376
GL,"-11,11",3,3376
GL,"-12,-11",3,3376
GL,"-12,0",2,3376
GL,8,2,3376
GL,"7,12",2,3376
GL,"9,11",2,3376
GL,"9,10",1,3376
GL,"9,10,12",1,3376
GL,"8,11",1,3376
GL,"6,12",1,3376
GL,"2,11",1,3376
GL,"2,12",1,3376
GL,"0,12",1,3376
GL,"-9,12",1,3376
GL,"-8,12",1,3376
GL,"-12,-8,12",1,3376
GL,"-12,-9",1,3376
GL,"-12,10,12",1,3376
GL,"-12,11",1,3376
GL,"-11,10,12",1,3376
GL,"-11,7,12",1,3376
GL,"-11,8,11,12",1,3376
GL,"-10,7,10,12",1,3376
GL,"-11,-10,12",1,3376
GL,"-10,11,12",1,3376
GL,"-10,11",1,3376
GL,"-1,12",1,3376
FM,11,896,2840
FM,9,581,2840
FM,10,543,2840
FM,"10,11",357,2840
FM,12,100,2840
FM,"11,12",91,2840
FM,"9,10",52,2840
FM,"10,11,12",30,2840
FM,"-11,11",24,2840
FM,-11,23,2840
FM,"9,10,11",18,2840
FM,"10,12",15,2840
FM,"8,9",14,2840
FM,"9,11",11,2840
FM,"-11,11,12",10,2840
FM,"-11,10,11",7,2840
FM,8,7,2840
FM,-10,5,2840
FM,"-10,10,11",4,2840
FM,"-11,-10",4,2840
FM,"7,9",4,2840
FM,"8,10,11",3,2840
FM,"8,10",3,2840
FM,"9,12",3,2840
FM,"9,10,11,12",3,2840
FM,"-11,10",3,2840
FM,"-11,12",2,2840
FM,-12,2,2840
FM,"-11,-10,12",2,2840
FM,"-10,10",2,2840
FM,"1,11",2,2840
FM,"-9,1",1,2840
FM,-8,1,2840
FM,"-13,10,11",1,2840
FM,"9,10,12",1,2840
FM,"9,11,12",1,2840
FM,"8,9,10",1,2840
FM,"2,10,11",1,2840
FM,"-10,10,12",1,2840
FM,"-10,11,12",1,2840
FM,"-1,10,11",1,2840
FM,"-11,-10,11",1,2840
FM,"-10,9,10",1,2840
FM,"-10,9,11",1,2840
FM,"-11,9,10",1,2840
FM,"-11,9,11,12",1,2840
FM,"-12,12",1,2840
FM,"-12,-11,-8",1,2840
FM,"-11,6,11",1,2840
FM,"-11,10,11,12",1,2840
NR,12,826,2037
NR,11,727,2037
NR,"11,12",288,2037
NR,"10,11",36,2037
NR,9,20,2037
NR,-11,17,2037
NR,"-11,11",13,2037
NR,"-11,11,12",13,2037
NR,"10,11,12",12,2037
NR,"10,12",12,2037
NR,10,12,2037
NR,-12,11,2037
NR,"-11,12",10,2037
NR,"-12,12",10,2037
NR,"-10,11",4,2037
NR,"-10,12",3,2037
NR,"-12,11",3,2037
NR,"9,11,12",3,2037
NR,"9,12",2,2037
NR,"9,11",2,2037
NR,8,2,2037
NR,"-13,11",2,2037
NR,"7,11",1,2037
NR,"9,10,11",1,2037
NR,"9,10",1,2037
NR,"-12,11,12",1,2037
NR,"-12,-11,11,12",1,2037
NR,"-12,-11",1,2037
NR,"-10,11,12",1,2037
NR,"-10,10,12",1,2037
NR,-10,1,2037
SB,11,1042,1686
SB,12,165,1686
SB,"11,12",134,1686
SB,"10,11",117,1686
SB,10,92,1686
