eez_list,trip_count,total_trips
PG,3672,20448
"FM,PG",1925,20448
FM,1145,20448
SB,825,20448
GL,747,20448
"PG,SB",668,20448
"GL,NR",578,20448
PH,568,20448
"FM,PG,SB",374,20448
"GL,TV",370,20448
I1,353,20448
"GL,MH,NR",302,20448
"FM,NR,PG",281,20448
"GL,I4",161,20448
"GL,NR,TV",157,20448
"FM,GL,NR,PG",155,20448
"GL,MH",154,20448
"GL,NR,PG",151,20448
"FM,GL,MH,NR",133,20448
IW,129,20448
"NR,PG,SB",121,20448
"GL,H4,PX,TV",118,20448
"I5,IW",114,20448
"FM,NR",114,20448
"GL,NR,PG,SB",110,20448
LN,110,20448
NR,108,20448
"NR,PG",106,20448
"I5,IW,LN",97,20448
"FM,GL,MH,NR,PG",96,20448
"FM,GL,NR",94,20448
"GL,PX",93,20448
"GL,NR,SB",91,20448
"GL,PX,TV",89,20448
"FM,NR,PG,SB",89,20448
"FM,MH,PG",86,20448
"FM,MH,NR,PG",82,20448
"I5,LN",77,20448
"H5,PX",72,20448
"FM,GL,NR,PG,SB",71,20448
JP,70,20448
"GL,H4,PX",70,20448
"GL,H4,I4",70,20448
PX,68,20448
"GL,H4,TV",66,20448
"GL,SB,TV",66,20448
"FM,MH",66,20448
"FM,MH,NR",64,20448
"I4,I5",63,20448
"MH,NR",59,20448
"GL,PG,SB",59,20448
"GL,SB",57,20448
TV,56,20448
"GL,I4,MH",55,20448
"GL,NR,SB,TV",53,20448
"FM,GL,PG",53,20448
"GL,PG",48,20448
"GL,I4,NR",45,20448
"GL,MH,NR,PG",44,20448
"GL,NR,PG,TV",43,20448
"GL,H4",43,20448
I4,43,20448
"GL,I4,MH,NR",43,20448
MH,42,20448
"GL,MH,NR,TV",42,20448
"PX,TV",41,20448
"GL,MH,TV",39,20448
"SB,TV",39,20448
"H5,LN",38,20448
"GL,MH,NR,PG,SB",38,20448
"GL,NR,PG,SB,TV",37,20448
H5,37,20448
"IW,LN",36,20448
"IW,JP",36,20448
"FM,GL,MH",36,20448
"GL,H4,I4,TV",35,20448
"FM,GL",34,20448
"H5,I5",34,20448
"FM,GL,PG,SB",33,20448
"FM,SB",33,20448
"H5,I5,LN",33,20448
"GL,PG,SB,TV",33,20448
"CK,LN",32,20448
"GL,PX,TK,TV",31,20448
"GL,I4,I5",29,20448
I5,29,20448
"FM,MH,NR,PG,SB",28,20448
"GL,I4,TV",28,20448
"FM,GL,NR,PG,TV",28,20448
"LN,PX",28,20448
"PX,TK,TV",28,20448
"H4,PX,TV",27,20448
"GL,PG,TV",26,20448
"GL,H4,PX,TK,TV",26,20448
"CK,H5,LN",26,20448
"PG,SB,TV",26,20448
"MH,NR,PG,SB",25,20448
"GL,H4,NR,TV",25,20448
"GL,MH,NR,SB",25,20448
"FM,GL,NR,TV",24,20448
"GL,H4,I4,PX",24,20448
"H5,I5,LN,PX",22,20448
"ID,PH",22,20448
"FM,GL,MH,PG",22,20448
"CK,H5",21,20448
"PX,TK",21,20448
"H5,I5,IW,LN",21,20448
"H4,PX,TK,TV",21,20448
"H5,I5,PX",20,20448
"H5,PX,TK",20,20448
"FM,PG,PW",20,20448
"NR,SB",19,20448
"FM,GL,MH,NR,PG,SB",19,20448
"GL,NR,PX",19,20448
"GL,H4,H5,PX,TV",18,20448
"H5,I4,I5",18,20448
"FM,PW",18,20448
"MH,NR,PG",17,20448
"CK,I5,IW,LN",17,20448
"H5,LN,PX",17,20448
"FM,NR,SB",16,20448
"FM,GL,PG,TV",16,20448
"GL,H4,I4,PX,TV",16,20448
"FM,MH,PG,SB",16,20448
"GL,H4,H5,PX",16,20448
"FM,GL,NR,PG,SB,TV",15,20448
"FM,GL,PG,SB,TV",15,20448
"H4,H5,PX",15,20448
"GL,H4,SB,TV",15,20448
"I5,LN,PX",15,20448
"NR,TV",14,20448
"I1,ID",14,20448
"GL,I4,PX",14,20448
"GL,H4,I4,NR",13,20448
"I4,MH",13,20448
"GL,MH,PG,SB",13,20448
"CK,H5,PX",13,20448
"H5,I4,PX",13,20448
"FM,PG,SB,TV",13,20448
"H5,PX,TV",12,20448
"GL,MH,NR,SB,TV",12,20448
"FM,GL,MH,NR,TV",12,20448
"GL,I4,MH,NR,PG,SB",12,20448
"GL,H4,I4,I5,PX",12,20448
"GL,H5,I4,I5,PX",12,20448
"CK,H5,LN,PX",12,20448
"GL,H5,PX",12,20448
"GL,NR,PX,TV",12,20448
"GL,MH,NR,PG,SB,TV",11,20448
"I1,PW",11,20448
"H4,TV",11,20448
"GL,I4,I5,PX",11,20448
"GL,LN,PX",11,20448
"H4,PX",11,20448
"I4,I5,LN",11,20448
"H4,H5,PX,TK,TV",11,20448
"TK,TV",11,20448
"FM,GL,I4,MH,NR",11,20448
CK,11,20448
"GL,MH,PX",10,20448
"GL,I4,PX,TV",10,20448
"H5,I4,I5,PX",10,20448
"GL,H4,H5,I4,PX",10,20448
"FM,I1",10,20448
"GL,I4,MH,TV",10,20448
"GL,H4,PX,SB,TV",10,20448
"GL,MH,NR,PX",10,20448
"GL,H5,PX,TV",10,20448
ID,10,20448
"CK,H5,PX,TK",10,20448
"CK,PX,TK",10,20448
"FM,GL,I4",10,20448
"PX,SB,TV",10,20448
"CK,H5,I5,LN",9,20448
"FM,MH,NR,SB",9,20448
"H5,I5,IW",9,20448
"FM,GL,SB",9,20448
"H5,PX,TK,TV",9,20448
"CK,H5,I5,IW",9,20448
"GL,I4,NR,PG",9,20448
"FM,GL,TV",9,20448
"H4,H5,PX,TV",9,20448
"I3,PH",9,20448
"GL,MH,PG",9,20448
"GL,H4,NR",9,20448
"GL,H4,H5,PX,TK,TV",9,20448
"H5,I4",9,20448
"CK,H5,I5,IW,LN",9,20448
"H5,I5,IW,LN,PX",8,20448
"GL,H4,H5,I5,PX,TV",8,20448
"MH,PG",8,20448
"FM,GL,I4,NR,PG",8,20448
"GL,PX,SB,TV",8,20448
"GL,LN",8,20448
"CK,IW,LN",8,20448
"GL,H4,TK,TV",8,20448
"GL,I4,SB",8,20448
"GL,MH,SB",8,20448
"FM,GL,I4,MH,NR,PG",8,20448
"GL,H4,NR,PX",8,20448
"FM,GL,I4,NR",8,20448
"H4,PX,TK",8,20448
"FM,GL,NR,SB",8,20448
"FM,GL,I4,PG",8,20448
I3,8,20448
"I4,PX",8,20448
"GL,I4,NR,TV",7,20448
"FM,PG,TV",7,20448
"H5,I4,I5,LN,PX",7,20448
"FM,GL,PG,PX,TV",7,20448
"MH,PG,SB",7,20448
"GL,H4,MH,PX,TV",7,20448
I6,7,20448
"FM,NR,TV",7,20448
"I5,IW,LN,PY",7,20448
"CK,H5,I5",7,20448
"GL,NR,PG,PX",7,20448
"CK,GL,H4,H5,PX,TK,TV",7,20448
"GL,H5",7,20448
"H5,I5,LN,PY",7,20448
"GL,H4,I4,I5",7,20448
H4,7,20448
"GL,I4,NR,PG,SB",7,20448
"GL,I4,PG,SB",7,20448
"PH,PW",6,20448
"GL,MH,PG,SB,TV",6,20448
"GL,H4,PX,TK",6,20448
"GL,I4,MH,NR,TV",6,20448
TK,6,20448
"GL,PX,SB,TK,TV",6,20448
"GL,H4,LN,PX",6,20448
"GL,H5,I4,I5",6,20448
"GL,TK,TV",6,20448
"I4,I5,LN,PX",6,20448
"GL,I4,LN",6,20448
PW,6,20448
"H4,H5",6,20448
"GL,H4,I4,MH",6,20448
"H5,TK",6,20448
"CK,H5,LN,PX,TK",6,20448
"FM,I2,PG",6,20448
"I4,I5,PX",6,20448
"GL,H4,NR,PX,TV",6,20448
"CK,PX,TK,TV",6,20448
"FM,GL,MH,NR,SB",6,20448
"FM,I1,PG",6,20448
"FM,GL,SB,TV",6,20448
"I1,PG",5,20448
"NR,PG,SB,TV",5,20448
"FM,GL,MH,NR,PG,TV",5,20448
"FM,GL,NR,SB,TV",5,20448
"H4,PG,PX,SB,TV",5,20448
"I6,IW",5,20448
"GL,H5,I4",5,20448
"CK,H5,I4,I5",5,20448
"I5,IW,LN,PX",5,20448
"GL,H4,I4,PX,TK,TV",5,20448
"FM,I4",5,20448
"H4,I4,I5",5,20448
"PG,PW",5,20448
"GL,H5,I4,PX",5,20448
"H4,I4",5,20448
"I4,I5,MH",5,20448
"GL,I4,MH,PX",5,20448
"FM,GL,H4,NR,PG,TV",5,20448
"GL,NR,PX,SB,TV",5,20448
"CK,TK",5,20448
"H4,H5,I4,I5",5,20448
"FM,I4,I5",5,20448
"GL,PG,PX,SB,TV",5,20448
"GL,H4,PX,SB",5,20448
"GL,MH,SB,TV",5,20448
"FM,NR,PG,SB,TV",5,20448
"H5,TK,TV",5,20448
"FM,GL,H4,PX,TV",5,20448
"CK,I5,LN",5,20448
"CK,H5,LN,TK",5,20448
"H5,IW",4,20448
"MH,NR,SB",4,20448
"FM,SB,TV",4,20448
"CK,H5,PX,TK,TV",4,20448
"H5,IW,LN",4,20448
"GL,I4,I5,MH",4,20448
"GL,H4,H5,LN,PX",4,20448
"CK,H5,PX,TV",4,20448
"I4,MH,NR",4,20448
"GL,I4,PG",4,20448
"FM,GL,PX,TV",4,20448
"FM,GL,H4,PG",4,20448
"GL,H4,PG,PX,TV",4,20448
"GL,I4,I5,LN",4,20448
"FM,I2,NR,PG",4,20448
"FM,GL,MH,NR,PX",4,20448
"H4,H5,PX,TK",4,20448
"H4,I4,I5,PX,TV",4,20448
"FM,GL,I4,MH,NR,PG,SB",4,20448
"GL,H5,I5",4,20448
