vessel_flag,total_sets,matching_sets,match_pct
CK,520,469,90.2
CN,4130,3745,90.7
FJ,18912,16153,85.4
FM,960,575,59.9
KI,1297,1067,82.3
MH,2253,2187,97.1
NC,1174,1165,99.2
PF,5251,5051,96.2
PG,20,20,100
SB,851,786,92.4
TO,634,138,21.8
TV,103,51,49.5
TW,5337,613,11.5
US,18,0,0
VU,1583,1161,73.3
WS,528,303,57.4
