eez_list,trip_count,total_trips
PG,3684,20663
"FM,PG",1939,20663
FM,1145,20663
SB,827,20663
GL,750,20663
"PG,SB",671,20663
"GL,NR",578,20663
PH,570,20663
I1,483,20663
"FM,PG,SB",375,20663
"GL,TV",371,20663
"GL,MH,NR",302,20663
"FM,NR,PG",282,20663
"GL,I4",166,20663
"GL,NR,TV",158,20663
"FM,GL,NR,PG",156,20663
"GL,MH",154,20663
"GL,NR,PG",151,20663
"FM,GL,MH,NR",135,20663
IW,130,20663
"NR,PG,SB",122,20663
"GL,H4,PX,TV",118,20663
"FM,NR",116,20663
"I5,IW",114,20663
"GL,NR,PG,SB",111,20663
LN,110,20663
NR,108,20663
"NR,PG",106,20663
"I5,IW,LN",97,20663
"FM,GL,MH,NR,PG",96,20663
"GL,PX",94,20663
"FM,GL,NR",94,20663
"GL,NR,SB",92,20663
"GL,PX,TV",91,20663
"FM,NR,PG,SB",89,20663
"FM,MH,PG",86,20663
"FM,MH,NR,PG",83,20663
"I5,LN",77,20663
"H5,PX",72,20663
"FM,GL,NR,PG,SB",71,20663
JP,70,20663
"GL,H4,PX",70,20663
"GL,H4,I4",70,20663
PX,69,20663
"FM,MH",67,20663
"GL,SB,TV",66,20663
"GL,H4,TV",66,20663
"FM,MH,NR",65,20663
"I4,I5",63,20663
"MH,NR",60,20663
"GL,PG,SB",59,20663
"GL,SB",58,20663
"GL,I4,MH",57,20663
TV,56,20663
"FM,GL,PG",56,20663
"GL,NR,SB,TV",53,20663
"GL,PG",48,20663
"GL,I4,NR",45,20663
"GL,MH,NR,PG",44,20663
MH,44,20663
"GL,NR,PG,TV",43,20663
"GL,H4",43,20663
"GL,I4,MH,NR",43,20663
I4,42,20663
"GL,MH,NR,TV",42,20663
"PX,TV",41,20663
"GL,MH,TV",39,20663
"SB,TV",39,20663
"GL,NR,PG,SB,TV",38,20663
"GL,MH,NR,PG,SB",38,20663
"H5,LN",38,20663
H5,37,20663
"IW,LN",36,20663
"IW,JP",36,20663
"FM,GL,MH",36,20663
"GL,H4,I4,TV",35,20663
"FM,GL",34,20663
"GL,PG,SB,TV",34,20663
"H5,I5",34,20663
"FM,GL,PG,SB",33,20663
"FM,SB",33,20663
"H5,I5,LN",33,20663
"CK,LN",32,20663
"GL,PX,TK,TV",31,20663
"GL,I4,I5",30,20663
I5,29,20663
"FM,MH,NR,PG,SB",28,20663
"GL,I4,TV",28,20663
"FM,GL,NR,PG,TV",28,20663
"LN,PX",28,20663
"PX,TK,TV",28,20663
"H4,PX,TV",27,20663
"GL,PG,TV",26,20663
"GL,H4,PX,TK,TV",26,20663
"CK,H5,LN",26,20663
"PG,SB,TV",26,20663
"GL,H4,I4,PX",25,20663
"GL,H4,NR,TV",25,20663
"MH,NR,PG,SB",25,20663
"FM,GL,NR,TV",25,20663
"GL,MH,NR,SB",25,20663
"FM,GL,MH,PG",23,20663
"H5,I5,LN,PX",22,20663
"ID,PH",22,20663
"CK,H5",21,20663
"PX,TK",21,20663
"H5,I5,IW,LN",21,20663
"H4,PX,TK,TV",21,20663
"H5,I5,PX",20,20663
"H5,PX,TK",20,20663
"FM,PG,PW",20,20663
"FM,GL,MH,NR,PG,SB",19,20663
"GL,NR,PX",19,20663
"NR,SB",18,20663
"GL,H4,H5,PX,TV",18,20663
"H5,I4,I5",18,20663
"FM,PW",18,20663
"GL,H4,H5,PX",17,20663
"CK,I5,IW,LN",17,20663
"MH,NR,PG",17,20663
"H5,LN,PX",17,20663
"FM,NR,SB",16,20663
"FM,GL,PG,TV",16,20663
"GL,H4,I4,PX,TV",16,20663
"FM,MH,PG,SB",16,20663
"FM,GL,NR,PG,SB,TV",15,20663
"GL,H4,SB,TV",15,20663
"H4,H5,PX",15,20663
