eez_code,offset_bucket,trip_count,observer_trips
PG,1,3226,4231
PG,2,905,4231
PG,3,100,4231
GL,1,2750,3398
GL,2,613,3398
GL,3,35,3398
FM,1,2175,2858
FM,2,590,2858
FM,3,93,2858
NR,1,1627,2050
NR,2,390,2050
NR,3,33,2050
SB,1,1372,1706
SB,2,318,1706
SB,3,16,1706
TV,1,1221,1365
TV,2,132,1365
TV,3,12,1365
PX,1,924,1254
PX,2,304,1254
PX,3,26,1254
MH,1,848,986
MH,2,131,986
MH,3,7,986
I4,1,685,852
I4,2,158,852
I4,3,9,852
H5,1,665,806
H5,2,127,806
H5,3,14,806
H4,1,651,705
H4,2,50,705
H4,3,4,705
I5,1,528,674
I5,2,135,674
I5,3,11,674
LN,1,477,638
LN,2,151,638
LN,3,10,638
I1,1,360,368
I1,2,8,368
TK,1,272,360
TK,2,82,360
TK,3,6,360
CK,1,245,306
CK,2,57,306
CK,3,4,306
IW,1,124,223
IW,2,57,223
IW,3,42,223
HB,1,52,61
HB,2,7,61
HB,3,2,61
I2,1,45,49
I2,2,4,49
PW,1,42,49
PW,2,7,49
PY,1,33,39
PY,2,5,39
PY,3,1,39
AS,1,24,25
AS,2,1,25
ID,1,15,15
WS,1,14,14
JV,1,8,8
FJ,1,6,7
FJ,3,1,7
I3,1,4,5
I3,2,1,5
TO,1,2,2
I9,1,1,1
JP,1,1,1
PH,1,1,1
VU,1,1,1
