entity,schema,db_table,row_count
ArtisanalFishingActivityLog,art2,art2.fishing_activity_log,79672
ArtisanalLogsheet,art2,art2.trips,1214147
HandlineActivity,log,log.sets_hl,16101
HandlineLogsheet,log,log.trips_hl,1066
LonglineActivity,log,log.sets_ll,2545200
LonglineLogsheet,log,log.trips_ll,99381
NetShareReceive,log,log.net_share_receives,409
PoleAndLineActivity,log,log.sets_pl,381521
PoleAndLineLogsheet,log,log.trips_pl,21957
PurseseineActivity,log,log.sets_ps,2553483
PurseseineLogsheet,log,log.trips_ps,70405
SnapperActivity,log,log.sets_ds,22545
SnapperLogsheet,log,log.trips_ds,4154
Transshipment,log,log.transshipments,19712
VietnamActivity,log,log.sets_vn,427679
VietnamLogsheet,log,log.trips_vn,47504
CarrierObserverTransshipmentActivity,obsv,obsv.carrier_transshipment,1469
CarrierObserverTrip,obsv,obsv.carrier_trip,129
ObserverLonglineSet,obsv,obsv.l_set,124605
ObserverLonglineSetCatch,obsv,obsv.l_setcatch,5738586
ObserverPoleAndLineDaylog,obsv,obsv.p_daylog,21743
ObserverPurseseineDaylog,obsv,obsv.s_daylog,6454587
ObserverTrip,obsv,obsv.trip,38265
TaggingBaitCaptureSet,tagging,tagging.bait_capture_sets,397
Unloading,unload2,unload2.unloadings,180599
