log_trip_id,vessel_flag,primary_eez_code,departure_month,modal_offset
1EBA0E64-A042-6540-B860-0008619D1969,PF,PF,4,-10
1F0172D9-8A73-6EF0-77B3-00ECCD0D18BA,WS,WS,4,-11
1EBB37C0-4825-68E0-B19B-01337CA49A88,FJ,TO,5,-11
18E8E998-B16C-42B4-8924-0163E15BD663,PF,PF,12,-10
6FCEFA65-35A9-4F4B-8C16-016E237687C0,PF,PF,2,-10
1EDBE853-967D-6FB0-E4D4-024817030015,PF,PF,1,-10
1EC5BD09-F834-6C30-A160-025180E76713,PF,PF,12,-10
B4B15836-DB8D-4E9A-81E1-02C4A3D6AEAA,FJ,FJ,6,12
1F1037E2-CAE7-6770-A2C3-02FCD3B2ECD5,PF,PF,1,-10
1EF34C90-29EB-6100-1489-033A899C2590,FJ,TO,6,-11
38F2074E-29CD-4983-99B9-03DF3B5B23AA,WS,WS,9,-11
1EC0DECE-59E6-6A10-C1EB-0428D0AD6D44,PF,PF,9,-10
1F0854F7-4342-6390-4BA7-05185D1AE7EE,PF,PF,8,-10
1EEB74F6-70E3-6DB0-47A2-059A9DA27EA9,PF,PF,1,-10
1EE8CF85-58CC-6150-9BCF-05BE4B256095,PF,PF,11,-10
1EE71D67-96DC-60C0-9789-061287418A5D,PF,PF,10,-10
1F0CBA50-3BD3-67E0-540D-06B01A07BF04,PF,PF,11,-10
1EE2667C-28B2-6550-4768-074CAA8020F5,PF,PF,7,-10
1EAD0FFF-6C84-67A0-AB54-075E7FC3C408,PF,PF,7,-10
1EF5DCA3-D74B-6390-71D6-07728085851B,NC,NC,8,11
1EBDF18A-E128-62F0-A7D1-07D8977407C1,PF,PF,6,-10
1EE1D002-1E18-6F60-12FF-07F215FDA714,PF,PF,7,-10
1F10D00D-80D7-6E00-F849-0860A1D1D589,TO,TO,2,-11
908F1F3E-7ED0-47B4-B147-08EFBFB82619,PF,PF,1,-10
1EB4C683-CCE6-60C0-450D-0986AADF4FD9,FJ,TO,5,-11
1EDF50A2-57A6-6610-E488-09A778380BA8,PF,PF,5,-10
1F044147-5BB0-61B0-7088-0A6A18BFDC8B,NC,NC,6,11
1EE9AC8E-EF11-6DE0-65A8-0A7D7BA2F239,NC,NC,12,11
1EBB9CB5-0E35-6EF0-1F35-0A86AD3B423C,PF,PF,5,-10
1EEFA9D3-0EA8-6770-DBCC-0B1F7451B510,TO,TO,4,-11
BA51FBB3-7EA6-4706-8AEE-0B4BC230E513,PF,PF,1,-10
1EC1F6A2-5F88-6080-D143-0B56827612FD,TO,TO,9,-11
66D75C01-E202-47CA-8B56-0B9F7351997D,PF,PF,10,-10
1ECA84FC-98B3-68F0-2E36-0C7B450D780A,PF,PF,3,-10
1EF7F973-BCC5-61D0-F333-0CAF8B6A914D,TO,TO,9,-11
1EDA986F-E959-60C0-396C-0CE613701E59,PF,PF,2,-10
1F042098-8117-6630-5871-0D1914CBB023,PF,PF,6,-10
1ECD7418-96CA-6E90-BC2F-0D25F95D572E,TO,TO,5,-11
64917E0D-8444-42E5-A66B-0D2CC19FD74A,PF,PF,7,-10
1EC2011F-18C9-6D60-1A61-0DE9811CAFDB,FJ,TO,10,-11
1EC091A2-FE72-6580-3FA6-0E0132AFA22B,FJ,TO,6,-11
1EFFD517-ED54-68A0-C046-0E4A25170CFB,FJ,TO,2,-11
1EFEEEC1-3D42-6EE0-1286-0E932C187E85,NC,NC,2,11
1EF000F0-115A-6580-F564-0EB1C3704E81,TO,TO,5,-11
1F0C5BB1-A722-65D0-BE8B-0F126D7FB94C,PF,PF,11,-10
1EC2F918-4A3E-6660-421F-0F1E13C7D7EC,TO,TO,10,-11
1ECAB04C-7B4D-6A60-981A-0F33B0F8634C,PF,PF,3,-10
1EE47BD1-46AD-6200-E52D-0F48F66DF6E7,PF,PF,1,-10
1EFF4575-4EAC-69A0-604A-0F686ED6C0D0,PF,PF,2,-10
1F121832-A9D4-6BA0-C6B6-1033A9EF54BE,TO,TO,3,-11
95BB8A81-5622-4A50-A65F-103C3569D6DF,PF,PF,10,-10
1ED11028-D2EE-6160-3A1F-10905C064511,TW,TO,8,-11
1EFD793B-FF56-66F0-3DF1-11B92EF4CF28,FJ,TO,1,-11
1EEA9B62-309C-6950-BB41-11FC05AF0DC4,TW,TO,1,-11
1EECF6E2-2EFD-6800-40BA-12D5D7D4076C,NC,NC,2,11
1F118D26-7624-6BD0-CAE3-12DC83991AB5,PF,PF,3,-10
1EC991BC-C57D-6E00-2874-12F11CABD34D,TO,TO,3,-11
1EE6227D-B61F-6260-1F33-1304963B8E13,TO,TO,9,-11
B8981D96-062A-46AF-8333-139A69CAA59F,PF,PF,11,-10
84070432-1C3F-4DE2-974D-147CBC771688,TO,TO,12,-11
1EC98F4B-10E2-6860-63A5-1511CD0C7A86,TO,TO,2,-11
1EE4818B-28E2-68A0-72F3-154C203D26B8,PF,PF,8,-10
1F000F7A-C254-6090-E332-1669F2C2B1C1,PF,PF,3,-10
1ECD0E4D-9D63-6DA0-98B7-16A77DF17C75,TO,TO,5,-11
1973D102-F40F-4657-B0EE-1711A09F8022,FJ,FJ,6,12
1EE9ACCD-49C4-6100-CCAD-1731FBDB41BF,PF,PF,12,-10
1EF4D486-1184-67E0-C600-18BC8D480222,PF,PF,7,-10
1EBA6CDE-273A-6BB0-8D08-197B90628A48,TO,TO,4,-11
1EF44D3E-9F5C-6100-44BB-19F7F63D9963,PF,PF,7,-10
