vessel_flag,total_sets,matching_sets,match_pct
CK,626,570,91.1
CN,4130,3676,89
FJ,18809,15910,84.6
FM,960,554,57.7
KI,1297,1037,80
MH,2227,2119,95.2
NC,1174,1156,98.5
PF,5240,4906,93.6
PG,20,20,100
SB,922,850,92.2
TO,497,31,6.2
TV,103,51,49.5
TW,5266,531,10.1
US,18,0,0
VU,1539,1068,69.4
WS,528,297,56.3
