vessel_flag,total_sets,matching_sets,match_pct
CK,626,575,91.9
CN,4130,3745,90.7
FJ,18809,16050,85.3
FM,960,575,59.9
KI,1297,1067,82.3
MH,2227,2161,97
NC,1174,1165,99.2
PF,5240,5040,96.2
PG,20,20,100
SB,922,857,93
TO,497,32,6.4
TV,103,51,49.5
TW,5266,542,10.3
US,18,0,0
VU,1539,1133,73.6
WS,528,303,57.4
