eez_list,trip_count,total_trips
"H5,IW,LN",4,20668
"GL,I4,PG",4,20668
"GL,H4,PG,TV",4,20668
"GL,H5,I5",4,20668
"FM,GL,I4,NR,PG,SB",4,20668
"FM,GL,H4,PG",4,20668
"GL,H4,NR,PG",4,20668
"FM,GL,I4,MH,NR,PG,SB",4,20668
"GL,I4,MH,NR,SB",4,20668
"CK,H4,H5,PX,TK",4,20668
"GL,H4,H5,I4,PX,TV",4,20668
"GL,H5,LN,PX",4,20668
"MH,NR,SB",4,20668
"GL,H4,I4,MH,TV",4,20668
"FM,PG,PX,TV",4,20668
"GL,H4,H5,LN,PX",4,20668
"FM,GL,PX,TV",4,20668
"FM,GL,I4,MH",4,20668
"GL,I4,I5,LN",4,20668
"GL,I4,I5,MH",4,20668
"FM,GL,MH,NR,PX",4,20668
"GL,H5,I4,MH,NR,PX",4,20668
"H5,IW",4,20668
"H4,I4,I5,PX,TV",4,20668
"FM,SB,TV",4,20668
"CK,H5,PX,TK,TV",4,20668
"CK,H5,TK",4,20668
"H4,I4,MH",4,20668
"GL,H4,I4,I5,TV",4,20668
"H4,I4,PX",4,20668
"FM,GL,H4,MH,NR,PG,TV",4,20668
"FM,GL,H4,PG,SB,TV",4,20668
"CK,LN,PX",4,20668
"GL,H4,I4,SB,TV",4,20668
"CK,H5,PX,TV",4,20668
"FM,GL,I4,MH,PG",4,20668
"FM,GL,H4,NR",4,20668
"FM,I4,I5,PG",3,20668
"I5,IW,PY",3,20668
"GL,I2,NR,TV",3,20668
"GL,I4,SB,TV",3,20668
"GL,H5,PX,TK,TV",3,20668
"NR,PG,TV",3,20668
"GL,H4,MH,PX",3,20668
"FM,MH,NR,PG,TV",3,20668
"FM,GL,MH,NR,PG,SB,TV",3,20668
"FM,NR,PG,TV",3,20668
"GL,H5,I4,PX,TV",3,20668
"MH,SB",3,20668
"CK,GL,LN,PX,TK,TV",3,20668
"GL,H4,LN",3,20668
"GL,H4,NR,PG,TV",3,20668
"FM,GL,H4,I4",3,20668
"GL,SB,TK,TV",3,20668
"PG,PX,SB,TV",3,20668
"GL,H4,I4,LN",3,20668
"NR,PX,TV",3,20668
"H4,H5,I4,I5,PX",3,20668
"H5,I4,I5,LN",3,20668
"GL,H4,H5,I4,PX,TK,TV",3,20668
"FM,GL,I4,MH,TV",3,20668
"CK,GL,H5,PX,TK,TV",3,20668
"GL,I2,NR",3,20668
"FM,GL,I2,NR,PG",3,20668
"PX,SB",3,20668
"CK,GL,PX,TK",3,20668
"GL,H4,I4,LN,PX",3,20668
"H4,I4,PX,TV",3,20668
"GL,H4,H5,I5",3,20668
"GL,I4,I5,PX,TV",3,20668
