eez_code,offset_bucket,trip_count,observer_trips
PG,1,3193,4183
PG,2,892,4183
PG,3,98,4183
GL,1,2732,3378
GL,2,611,3378
GL,3,35,3378
FM,1,2158,2840
FM,2,589,2840
FM,3,93,2840
NR,1,1617,2038
NR,2,388,2038
NR,3,33,2038
SB,1,1357,1687
SB,2,316,1687
SB,3,14,1687
TV,1,1214,1358
TV,2,132,1358
TV,3,12,1358
PX,1,916,1243
PX,2,301,1243
PX,3,26,1243
MH,1,841,979
MH,2,131,979
MH,3,7,979
I4,1,674,837
I4,2,154,837
I4,3,9,837
H5,1,658,799
H5,2,127,799
H5,3,14,799
H4,1,647,701
H4,2,50,701
H4,3,4,701
I5,1,524,667
I5,2,133,667
I5,3,10,667
LN,1,475,633
LN,2,148,633
LN,3,10,633
TK,1,271,359
TK,2,82,359
TK,3,6,359
I1,1,349,354
I1,2,5,354
CK,1,245,306
CK,2,57,306
CK,3,4,306
IW,1,124,223
IW,2,57,223
IW,3,42,223
HB,1,52,61
HB,2,7,61
HB,3,2,61
I2,1,45,49
I2,2,4,49
PW,1,42,49
PW,2,7,49
PY,1,33,39
PY,2,5,39
PY,3,1,39
AS,1,24,25
AS,2,1,25
ID,1,15,15
WS,1,14,14
JV,1,8,8
FJ,1,6,7
FJ,3,1,7
I3,1,4,5
I3,2,1,5
TO,1,2,2
I9,1,1,1
JP,1,1,1
PH,1,1,1
VU,1,1,1
